k,layer,qubit,rot,n_replicates,shots,g_exact,mean_g_hat,bias,mean_xi,var_xi_emp,std_xi_emp,var_xi_theory,var_ratio_emp_over_theory,se_mean_xi,z_mean_xi,ci95_low,ci95_high,M_times_var_emp,M_times_var_theory
0,0,0,0,200,64,0.03313590236482501,0.03453125,0.0013953476351749872,0.0013953476351749967,0.008685002159233667,0.0931933589867522,0.00772953583726454,1.123612380107324,0.006589765610108476,0.21174465341143256,-0.01152035562719823,0.014311050897548225,0.5558401381909547,0.49469029358493055
0,0,0,0,200,128,0.03313590236482501,0.03921875,0.006082847635174984,0.006082847635174993,0.003981675957914574,0.06310052264375132,0.00386476791863227,1.0302496920238557,0.004461880745781186,1.3632922934855376,-0.002662277929868848,0.014827973200218834,0.5096545226130654,0.49469029358493055
0,0,0,0,200,256,0.03313590236482501,0.03611328125,0.0029773788851749847,0.00297737888517499,0.002074811542453478,0.045550099258437164,0.001932383959316135,1.0737056331122454,0.003220878406936125,0.9243996540705288,-0.0033354267910025593,0.009290184561352539,0.5311517548680904,0.49469029358493055
0,0,0,0,200,512,0.03313590236482501,0.03134765625,-0.0017882461148250109,-0.0017882461148250115,0.001087926740023359,0.03298373447660769,0.0009661919796580675,1.1259943809597477,0.0023323022317265816,-0.7667300105875171,-0.006359474490071503,0.0027829822604214793,0.5570184908919598,0.49469029358493055
0,0,0,0,200,1024,0.03313590236482501,0.0327978515625,-0.00033805080232501145,-0.00033805080232501145,0.0005097727320302072,0.02257814722314936,0.00048309598982903374,1.0552203759973546,0.001596516100811713,-0.21174280807637144,-0.003467164860654287,0.002791063256004264,0.5220072775989322,0.49469029358493055
0,0,0,0,200,2048,0.03313590236482501,0.0327099609375,-0.0004259414273250148,-0.0004259414273250123,0.0002547771846828748,0.01596174127978758,0.00024154799491451687,1.05476836921391,0.0011286655498483039,-0.37738498121277836,-0.002638085255618785,0.0017862024009687606,0.5217836742305276,0.49469029358493055
6,1,0,0,200,64,-1.1709383462843448e-17,-0.00421875,-0.004218749999999988,-0.004218749999999991,0.007308785136620603,0.08549143311829907,0.007679096214904551,0.9517767367512336,0.006045157209130546,-0.6978726696516729,-0.016067040410778527,0.007629540410778546,0.4677622487437186,0.49146215775389124
6,1,0,0,200,128,-1.1709383462843448e-17,0.0053515625,0.0053515625000000126,0.005351562500000007,0.00411884710417321,0.06417824478881617,0.0038395481074522753,1.0727426741128303,0.0045380872094822125,1.1792551030791254,-0.003542924989287004,0.014246049989287019,0.5272124293341709,0.49146215775389124
6,1,0,0,200,256,-1.1709383462843448e-17,-0.00345703125,-0.0034570312499999883,-0.0034570312499999888,0.0016251265942750863,0.04031285891964357,0.0019197740537261376,0.8465197199226843,0.0028505495911096564,-1.2127595537302132,-0.009044005784720293,0.0021299432847203155,0.4160324081344221,0.49146215775389124
6,1,0,0,200,512,-1.1709383462843448e-17,0.0001171875,0.0001171875000000117,0.00011718750000001194,0.0010101333694841393,0.03178259538621947,0.0009598870268630688,1.0523461003377415,0.0022473688721304065,0.052144310377015834,-0.004287574549351986,0.004521949549352011,0.5171882851758793,0.49146215775389124
6,1,0,0,200,1024,-1.1709383462843448e-17,0.002939453125,0.0029394531250000115,0.0029394531250000124,0.00045058466082242263,0.0212269795501485,0.0004799435134315344,0.9388285250503757,0.0015009741184018174,1.9583636312995423,-2.4020887943085843e-06,0.005881308338794333,0.46139869268216077,0.49146215775389124
6,1,0,0,200,2048,-1.1709383462843448e-17,-0.0012646484375,-0.0012646484374999882,-0.0012646484374999878,0.00025047414865925086,0.015826375095366937,0.0002399717567157672,1.0437651167254784,0.0011190937151535853,-1.130064819751424,-0.003458031814526141,0.0009287349395261653,0.5129710564541458,0.49146215775389124
11,1,2,1,200,64,8.223066085447988e-18,-0.01140625,-0.011406250000000008,-0.011406250000000001,0.00802035077732412,0.08955641114584774,0.007679096214904551,1.0444394174612919,0.006332594561995944,-1.801196948317644,-0.023817907270206252,0.0010054072702062478,0.5133024497487437,0.49146215775389124
11,1,2,1,200,128,8.223066085447988e-18,-0.0013671875,-0.0013671875000000082,-0.0013671875000000066,0.0035930614375588883,0.05994215075853458,0.0038395481074522753,0.9358032083476243,0.004238550128026615,-0.322560181831928,-0.009674593097599809,0.006940218097599795,0.4599118640075377,0.49146215775389124
11,1,2,1,200,256,8.223066085447988e-18,-0.00271484375,-0.002714843750000008,-0.0027148437500000076,0.0020695514774801745,0.04549232328074897,0.0019197740537261376,1.0780182560876526,0.003216793028374824,-0.8439597220128242,-0.009019642231334194,0.0035899547313341796,0.5298051782349247,0.49146215775389124
11,1,2,1,200,512,8.223066085447988e-18,-0.001044921875,-0.0010449218750000083,-0.0010449218750000079,0.0009094651380376,0.030157339704251104,0.0009598870268630688,0.9474710175110413,0.0021324459407422265,-0.4900109564495261,-0.005224439117833406,0.00313459536783339,0.4656461506752512,0.49146215775389124
11,1,2,1,200,1024,8.223066085447988e-18,-0.002080078125,-0.002080078125000008,-0.002080078125000008,0.0004846803866439129,0.02201545790220846,0.0004799435134315344,1.0098696473226827,0.0015567279573578566,-1.3361860144982578,-0.005131208855148011,0.0009710526051479955,0.4963127159233668,0.49146215775389124
11,1,2,1,200,2048,8.223066085447988e-18,-3.662109375e-05,-3.6621093750008225e-05,-3.662109375000749e-05,0.0002733785003872972,0.01653416161730909,0.0002399717567157672,1.1392111477147637,0.0011691417800833593,-0.03132305625704046,-0.00232809687553444,0.002254854688034425,0.5598791687931847,0.49146215775389124
