k,layer,qubit,rot,shots,replicate,g_hat,g_exact,xi
2,0,1,0,64,0,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,1,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,2,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,3,-0.296875,-0.18740256624278084,-0.10947243375721916
2,0,1,0,64,4,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,5,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,6,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,7,-0.3125,-0.18740256624278084,-0.12509743375721916
2,0,1,0,64,8,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,9,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,10,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,11,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,12,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,13,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,64,14,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,15,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,16,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,17,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,18,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,19,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,20,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,21,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,22,-0.046875,-0.18740256624278084,0.14052756624278084
2,0,1,0,64,23,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,24,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,25,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,26,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,27,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,28,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,29,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,30,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,31,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,32,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,33,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,34,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,35,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,36,-0.015625,-0.18740256624278084,0.17177756624278084
2,0,1,0,64,37,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,38,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,39,-0.03125,-0.18740256624278084,0.15615256624278084
2,0,1,0,64,40,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,41,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,42,-0.34375,-0.18740256624278084,-0.15634743375721916
2,0,1,0,64,43,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,44,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,45,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,64,46,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,47,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,48,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,49,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,50,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,51,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,52,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,53,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,54,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,55,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,56,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,57,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,58,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,64,59,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,60,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,61,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,62,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,63,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,64,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,65,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,66,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,67,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,68,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,69,-0.3125,-0.18740256624278084,-0.12509743375721916
2,0,1,0,64,70,-0.015625,-0.18740256624278084,0.17177756624278084
2,0,1,0,64,71,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,72,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,73,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,74,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,75,-0.34375,-0.18740256624278084,-0.15634743375721916
2,0,1,0,64,76,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,77,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,78,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,79,-0.0625,-0.18740256624278084,0.12490256624278084
2,0,1,0,64,80,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,81,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,82,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,83,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,64,84,-0.375,-0.18740256624278084,-0.18759743375721916
2,0,1,0,64,85,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,86,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,87,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,88,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,89,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,90,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,91,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,92,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,93,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,94,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,95,-0.296875,-0.18740256624278084,-0.10947243375721916
2,0,1,0,64,96,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,97,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,98,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,99,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,100,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,101,-0.3125,-0.18740256624278084,-0.12509743375721916
2,0,1,0,64,102,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,103,-0.015625,-0.18740256624278084,0.17177756624278084
2,0,1,0,64,104,0.015625,-0.18740256624278084,0.20302756624278084
2,0,1,0,64,105,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,106,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,107,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,108,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,109,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,110,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,111,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,112,-0.328125,-0.18740256624278084,-0.14072243375721916
2,0,1,0,64,113,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,114,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,115,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,116,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,117,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,118,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,119,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,120,-0.296875,-0.18740256624278084,-0.10947243375721916
2,0,1,0,64,121,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,122,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,123,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,124,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,125,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,126,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,127,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,128,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,64,129,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,130,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,64,131,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,132,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,64,133,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,134,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,135,-0.0625,-0.18740256624278084,0.12490256624278084
2,0,1,0,64,136,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,137,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,138,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,139,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,64,140,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,141,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,142,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,64,143,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,64,144,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,145,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,64,146,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,147,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,64,148,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,149,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,150,-0.0625,-0.18740256624278084,0.12490256624278084
2,0,1,0,64,151,-0.046875,-0.18740256624278084,0.14052756624278084
2,0,1,0,64,152,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,153,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,154,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,155,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,156,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,64,157,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,64,158,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,64,159,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,160,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,64,161,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,64,162,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,163,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,64,164,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,165,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,64,166,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,64,167,-0.203125,-0.18740256624278084,-0.015722433757219156
