n,cost_type,parameter_index,n_initializations,mean_gradient,mean_abs_gradient,median_abs_gradient,rms_gradient,std_gradient,empirical_variance,theoretical_variance,variance_ratio,variance_se_sample,variance_z_sample,variance_rel_se_exact,variance_z_exact,standard_error_mean,z_mean,ci95_low,ci95_high,n_exact_zero,min_abs_nonzero,max_abs,all_finite,factorized_second_moment,factorized_ratio
2,global,0,10000,0.0011893425473818793,0.15753042268774625,0.11133940926079561,0.21491472631766245,0.21492218174707198,0.04619154420692144,0.046875,0.9854196097476574,0.0006441693972637904,-1.060987678057426,0.013845095473374919,-1.0531086824487195,0.00214922181747072,0.5533828745427215,-0.0030230548096484493,0.0054017399044122075,0,7.428750049552017e-09,0.4997592376427578,True,0.04641660230883231,0.9902208492550892
2,local,0,10000,0.0018679502405890783,0.1589054462747848,0.176216349270968,0.1765924911645109,0.1765914413308348,0.031184537151301667,0.03125,0.9979051888416534,0.00022213485496217348,-0.29469868071573024,0.0070724820254419885,-0.2961917967144964,0.001765914413308348,1.0577807319039725,-0.0015931784092754631,0.00532907889045362,0,1.4711832229429715e-05,0.24999999694311995,True,,
4,global,0,10000,-0.00029014067813897297,0.03974742209842118,0.007945291441935723,0.08138766999137323,0.08139122248818588,0.006624531098121376,0.006591796875,1.0049659028853761,0.0002115488976023136,0.1547359664473995,0.03166657637973149,0.15681843296942588,0.0008139122248818588,-0.3564766190618252,-0.0018853793254842814,0.0013050979692063353,0,2.0882070831854784e-12,0.4931791155686322,True,0.0066458451843820045,1.0081993287121738
4,local,0,10000,0.0003518299447526304,0.07987056091482549,0.08852253982907177,0.08859257053840486,0.0885963018458575,0.007849304700762293,0.0078125,1.0047110016975735,5.525776112557672e-05,0.666054867453865,0.0070724820254419885,0.6661030287000463,0.000885963018458575,0.39711583601396216,-0.0013846256630605717,0.0020882855525658326,0,7.434541421433588e-05,0.12499999706151596,True,,
6,global,0,10000,0.0004883292539782603,0.010110820847831202,0.0004775117580960107,0.031089062852857816,0.03108678179562648,0.0009663880024088938,0.000926971435546875,1.042521878615132,6.266735172284642e-05,0.6289808932144305,0.06379165913646802,0.6665742699083268,0.0003108678179562648,1.570858177564595,-0.00012096047316857261,0.0010976189811250934,0,5.664317891514853e-16,0.3689735520660528,True,0.0009343277089715586,1.0079358145705362
6,local,0,10000,0.00015701141381398967,0.053298424274193054,0.05935158095903595,0.059149017176189526,0.05915176644422754,0.003498931473472443,0.003472222222222222,1.0076922643600636,2.4594067655671506e-05,1.086003812958595,0.0070724820254419885,1.0876329317475966,0.0005915176644422754,0.265438250203451,-0.001002341904712119,0.0013163647323400983,0,5.332491639917769e-06,0.08333333171169932,True,,
8,global,0,10000,-0.00018679730337449083,0.002637527536118965,3.086032974295647e-05,0.012306112437067371,0.01230530991671526,0.0001514206521464109,0.0001303553581237793,1.1615989885327844,1.8796415421963438e-05,1.1207080472384652,0.12515505572030663,1.2911902567797322,0.0001230530991671526,-1.5180219323102908,-0.00042797694592814565,5.4382339179163985e-05,0,1.668272023305609e-20,0.32549054522149723,True,0.00013242806405911286,1.0159004276093155
8,local,0,10000,-0.00011871672777334213,0.0395864138878074,0.04404891750201469,0.044017677295417876,0.04401971824514023,0.001937735594381531,0.001953125,0.9921206243233439,1.3743362872740857e-05,-1.1197700126941195,0.0070724820254419885,-1.1140891766584125,0.00044019718245140227,-0.2696898855922333,-0.0009814873514740977,0.0007440538959274134,0,1.268079996348419e-05,0.06249999965574071,True,,
10,global,0,10000,-3.1341927567675883e-05,0.0006191302964069295,1.9782777488503554e-06,0.004009801808921338,0.004009879816655304,1.6079136144019577e-05,1.8331222236156464e-05,0.8771447935591072,3.086471254103219e-06,-0.7296637184431627,0.24392762438742172,-0.5036543390664361,4.009879816655304e-05,-0.7816176294734593,-0.00010993412779746058,4.725027266210882e-05,0,8.823846975422218e-20,0.13948144563389842,True,1.851336800769902e-05,1.0099363680826088
10,local,0,10000,0.00025569408186946666,0.03174373509553832,0.03501295117404479,0.03528357710621248,0.03528441487313956,0.001244989932939832,0.00125,0.9959919463518657,8.852416059483011e-06,-0.5659547660777833,0.007072482025441987,-0.5667110405817964,0.00035284414873139563,0.7246657845646041,-0.000435867741799763,0.0009472559055386963,0,1.3081989513101557e-05,0.04999999450845659,True,,
12,global,0,10000,-5.215952062882731e-06,0.00014293067521159805,1.2069299282459576e-07,0.0012561529751643217,0.0012562049577787254,1.5780508959478494e-06,2.5778281269595027e-06,0.6121629597583487,4.574877350692562e-07,-2.1853640095079343,0.47459671721715546,-0.8171928422003675,1.2562049577787254e-05,-0.41521505153950333,-2.983711680735234e-05,1.940521268158688e-05,0,2.160751198345729e-21,0.057311838445515045,True,2.6018676054711737e-06,1.009325477622135
12,local,0,10000,-0.00016388050198169396,0.02648349784748791,0.029298754378796664,0.02942623361844073,0.029427248672693918,0.0008659629644445659,0.0008680555555555555,0.99758933504014,6.131450690238521e-06,-0.3412880926076824,0.0070724820254419885,-0.3408513377889177,0.0002942724867269392,-0.5569005237440416,-0.0007406439776075359,0.0004128829736441479,0,1.6318788511924519e-06,0.04166666653753391,True,,
14,global,0,10000,-6.706521849828918e-06,3.8845975586669993e-05,7.067639060842605e-09,0.0004807682853060105,0.0004807455442836617,2.3111627834859413e-07,3.6250708035368007e-07,0.6375496945414294,7.338694635359042e-08,-1.7903838289172487,0.9229775786604185,-0.3926967608299,4.807455442836617e-06,-1.3950252747161742,-1.6128961375069744e-05,2.7159176754119074e-06,0,4.906602394611556e-25,0.02410330848885503,True,3.534906109760352e-07,0.9751274668377568
14,local,0,10000,0.0005334071839840961,0.022647812044818832,0.025245255944042554,0.025219837924694025,0.025215457236629168,0.0006358192836522742,0.0006377551020408163,0.996964636766766,4.532402285374826e-06,-0.4271064805497417,0.007072482025441992,-0.4291793492461017,0.00025215457236629166,2.1153976268542283,3.9193303609065706e-05,0.0010276210643591266,0,1.8059951580209765e-06,0.035714284855006655,True,,
16,global,0,10000,1.3137924479833003e-06,1.092158956419669e-05,4.904012199014082e-10,0.0003477249104633443,0.00034773981596030216,1.2092297960410483e-07,5.097755817473626e-08,2.372082617013863,9.716924917583082e-08,0.7198308314886752,1.7947560832742384,0.7644953148790686,3.4773981596030215e-06,0.3778090364358168,-5.501782704744488e-06,8.129367600711089e-06,0,2.388988514759456e-26,0.03094731477039051,True,5.116401531828212e-08,1.0036576319114137
16,local,0,10000,-5.07335291940479e-05,0.019810099363353494,0.021944449080669663,0.022031725228399416,0.022032768481001212,0.00048544288693740047,0.00048828125,0.9941870324477962,3.460347625840573e-06,-0.8202537344524882,0.0070724820254419885,-0.8219133723200327,0.00022032768481001212,-0.23026397811875193,-0.0004825678562187644,0.00038110079783066855,0,2.4690326825584736e-06,0.031249999988424537,True,,
18,global,0,10000,1.704213385254364e-07,1.152831861388627e-06,2.841155203053934e-11,1.69006477386729e-05,1.6900633529411085e-05,2.8563141369545415e-10,7.1687191183222865e-09,0.0398441351908207,9.974373206947832e-11,-69.00772170658595,3.489843329763409,-0.27512864449255153,1.6900633529411085e-07,1.0083724863264036,-1.6082499181012145e-07,5.016676688609942e-07,0,3.5785326747635015e-27,0.0008489656313111505,True,6.8083577544959015e-09,0.9497314153507076
18,local,0,10000,-0.00024370606423811626,0.017731102654907845,0.019691150514600797,0.01968400967113538,0.01968348516006272,0.00038743958804640937,0.00038580246913580245,1.004243412216293,2.7277176880206087e-06,0.6001790133182393,0.00707248202544199,0.5999891128783614,0.0001968348516006272,-1.2381245610537992,-0.0006294952842776318,0.00014208315580139925,0,1.4739560178305133e-06,0.027777777737261172,True,,
20,global,0,10000,-1.2938818996030567e-07,4.99148216951053e-07,2.057604465960931e-12,1.2923792242410633e-05,1.2923790738711215e-05,1.670243670579978e-10,1.0081011260140715e-09,0.16568215504172187,1.0621316940756249e-10,-7.9187615212637485,6.78582696071049,-0.12295006191418169,1.2923790738711215e-07,-1.001162836633863,-3.826898338763685e-07,1.2391345395575712e-07,0,1.818591455476869e-28,0.0009999521313843632,True,1.086742761360404e-09,1.078009669185941
20,local,0,10000,-0.00020252973789494207,0.015929589970666874,0.01751596086638907,0.017665967054060268,0.017665689381355685,0.000312076581318543,0.0003125,0.9986450602193375,2.1976101618144593e-06,-0.19267233507302917,0.007072482025441987,-0.1915791055796714,0.00017665689381355686,-1.1464581626160106,-0.0005487708873902302,0.00014371141160034604,0,1.7455070273844346e-06,0.024999999976030942,True,,
22,global,0,10000,-1.0175235972289876e-08,8.350837666189728e-08,1.3060513680489945e-13,2.2810659923548055e-06,2.281157358434511e-06,5.203678893939916e-12,1.417642208457288e-10,0.0367065742180651,2.7352772886388165e-12,-49.925666592927726,13.194674070439575,-0.07300623119899795,2.281157358434511e-08,-0.4460558555799426,-5.488509862829156e-08,3.4534626683711804e-08,0,4.0984191037699564e-33,0.00015604317481495472,True,1.4241500538025238e-10,1.004590612008031
