n,theoretical_variance_global,any_nan,any_inf,n_exact_zero,min_abs_nonzero,max_abs,min_log10_abs,max_rel_diff_logdomain_vs_direct,float64_tiny
2,0.046875,False,False,0,7.428750049552017e-09,0.4997592376427578,-8.129084253836858,1.7903264461805e-15,2.2250738585072014e-308
4,0.006591796875,False,False,0,2.0882070831854784e-12,0.4931791155686322,-11.680226435446947,3.6183085479051015e-15,2.2250738585072014e-308
6,0.000926971435546875,False,False,0,5.664317891514853e-16,0.3689735520660528,-15.246852381261679,5.465368801242762e-15,2.2250738585072014e-308
8,0.0001303553581237793,False,False,0,1.668272023305609e-20,0.32549054522149723,-19.777733133201618,8.658344910851628e-15,2.2250738585072014e-308
10,1.8331222236156464e-05,False,False,0,8.823846975422218e-20,0.13948144563389842,-19.054342032107527,8.530398325245455e-15,2.2250738585072014e-308
12,2.5778281269595027e-06,False,False,0,2.160751198345729e-21,0.057311838445515045,-20.665395237469482,1.0882958164436749e-14,2.2250738585072014e-308
14,3.6250708035368007e-07,False,False,0,4.906602394611556e-25,0.02410330848885503,-24.309219133545966,1.2312481095192402e-14,2.2250738585072014e-308
16,5.097755817473626e-08,False,False,0,2.388988514759456e-26,0.03094731477039051,-25.62178593814823,1.800717538428541e-14,2.2250738585072014e-308
18,7.1687191183222865e-09,False,False,0,3.5785326747635015e-27,0.0008489656313111505,-26.446295012988333,1.2655937704115848e-14,2.2250738585072014e-308
20,1.0081011260140715e-09,False,False,0,1.818591455476869e-28,0.0009999521313843632,-27.740264853745792,1.5862185181099614e-14,2.2250738585072014e-308
22,1.417642208457288e-10,False,False,0,4.0984191037699564e-33,0.00015604317481495472,-32.38738363277037,1.7321500006258154e-14,2.2250738585072014e-308
24,1.9935593556430614e-11,False,False,0,2.9164880210747717e-34,5.8467655217522275e-05,-33.53513980301309,2.1504243490973708e-14,2.2250738585072014e-308
