n,cost_type,parameter_index,n_initializations,mean_gradient,mean_abs_gradient,median_abs_gradient,rms_gradient,std_gradient,empirical_variance,theoretical_variance,variance_ratio,variance_se_sample,variance_z_sample,variance_rel_se_exact,variance_z_exact,standard_error_mean,z_mean,ci95_low,ci95_high,n_exact_zero,min_abs_nonzero,max_abs,all_finite,factorized_second_moment,factorized_ratio
2,global,0,1000000,3.158057481498516e-05,0.15915259276311391,0.11442198498970799,0.21650672085852402,0.21650682680872715,0.04687520605478418,0.046875,1.000004395835396,6.493093357993855e-05,0.0031734455800809806,0.0013844380328019983,0.003175176708351942,0.00021650682680872716,0.14586410636780983,-0.0003927650081371711,0.00045592615776714147,0,4.739075609702753e-15,0.4999996747189801,True,0.04686673857077517,0.999823756176537
2,local,0,1000000,0.00010338565572912763,0.15916175861417542,0.17679560802309838,0.17678405642966338,0.17678411459109036,0.03125262317175577,0.03125,1.0000839414961846,2.2098052751440078e-05,0.11870601384090694,0.0007071081954001098,0.11871096492825653,0.00017678411459109037,0.5848130414220944,-0.00024310484190821134,0.0004498761533664666,0,1.8981845565098095e-07,0.24999999999986044,True,,
4,global,0,1000000,-2.6870980513472203e-06,0.039795474506351576,0.007816509183806964,0.08118871097710875,0.0811887515270273,0.006591613374517377,0.006591796875,0.9999721622971547,2.087737167387948e-05,-0.008789443685230047,0.0031666263714138568,-0.00879096539352173,8.11887515270273e-05,-0.03309692538445673,-0.00016181412699409206,0.0001564399308913976,0,1.2012633706031386e-16,0.49865864468084653,True,0.0065922656466766,1.0000711143995316
4,local,0,1000000,-0.0001454301372636964,0.07960736658813028,0.08839358434346564,0.08841455326576576,0.08841447786635402,0.007817119896380006,0.0078125,1.0005913467366407,5.525270757832703e-06,0.8361393644748645,0.0007071081954001098,0.836288902444602,8.841447786635402e-05,-1.6448679082121187,-0.000318719329593664,2.7859055066271237e-05,0,4.118891251319344e-08,0.12499999999928577,True,,
6,global,0,1000000,-1.738475060932376e-05,0.00993779354067881,0.0004935285320934316,0.030374563129149976,0.030374573341396406,0.0009226147056718692,0.000926971435546875,0.9953000386981337,5.886743867045942e-06,-0.7400916318773083,0.006379150392790032,-0.7367691639906189,3.0374573341396407e-05,-0.5723455079986494,-7.691782040423116e-05,4.214831918558365e-05,0,4.317429385716323e-21,0.48804733174174764,True,0.0009280035150117661,1.001113388638866
6,local,0,1000000,1.602731637687771e-05,0.05303476441791873,0.05891692153051994,0.05891994091955058,0.058919968199678395,0.003471562652651113,0.003472222222222222,0.9998100439635206,2.4574995001086058e-06,-0.2683905209665168,0.0007071081954001098,-0.26863786576810506,5.891996819967839e-05,0.2720184152605363,-9.945369926473722e-05,0.00013150833201849263,0,1.3305371389855477e-07,0.08333333333276247,True,,
8,global,0,1000000,1.0688912080261969e-05,0.0024902680763994587,3.11504011119211e-05,0.011435743797729514,0.011435744520175338,0.00013077625273072029,0.0001303553581237793,1.0032288247525762,1.6337662653596056e-06,0.2576222902046191,0.012515497661041312,0.2579861256837627,1.1435744520175339e-05,0.9346931510584394,-1.1724735315682976e-05,3.3102559476206915e-05,0,6.930986617418606e-27,0.42722349492056977,True,0.00012996696746836206,0.9970205240428366
8,local,0,1000000,-2.6119771972273753e-06,0.039756991605822856,0.044164044302336815,0.04416990088639048,0.044169922894128105,0.0019509820884732224,0.001953125,0.9989028292982899,1.3811499894482708e-06,-1.551541500307001,0.0007071081954001098,-1.5516305833356838,4.416992289412811e-05,-0.05913474658962124,-8.918343526962966e-05,8.395948087517491e-05,0,1.7117696436053253e-07,0.06249999999993061,True,,
10,global,0,1000000,8.542260167676759e-06,0.0006175652407167765,1.9605736095542397e-06,0.004222221013020842,0.00422221448290836,1.7827095139681114e-05,1.8331222236156464e-05,0.9724989916121899,4.1446596070008426e-07,-1.216329311154568,0.024392758379750964,-1.127425113620581,4.2222144829083605e-06,2.0231705902805412,2.6687184617296464e-07,1.6817648489180552e-05,0,2.8753140817623655e-25,0.2749772353597029,True,1.8252727790329393e-05,0.9957179916965794
10,local,0,1000000,2.7603023712299305e-05,0.03182359228050082,0.0353366628122453,0.03534386594774411,0.03534387284091169,0.001249189347394535,0.00125,0.999351477915628,8.834489412047181e-07,-0.9175998381520742,0.0007071081954001097,-0.9171468929236356,3.534387284091169e-05,0.7809846939112993,-4.1669694130050974e-05,9.687574155464959e-05,0,1.6999661159335968e-07,0.04999999999995709,True,,
