n,theoretical_variance_global,any_nan,any_inf,n_exact_zero,min_abs_nonzero,max_abs,min_log10_abs,max_rel_diff_logdomain_vs_direct,float64_tiny
2,0.046875,False,False,0,4.739075609702753e-15,0.4999996747189801,-14.324306362282927,3.662093906948829e-15,2.2250738585072014e-308
4,0.006591796875,False,False,0,1.2012633706031386e-16,0.49865864468084653,-15.920361765403024,6.054512003598979e-15,2.2250738585072014e-308
6,0.000926971435546875,False,False,0,4.317429385716323e-21,0.48804733174174764,-20.364774756862886,8.6629247373026e-15,2.2250738585072014e-308
8,0.0001303553581237793,False,False,0,6.930986617418606e-27,0.42722349492056977,-26.159204939702445,1.2027755329969448e-14,2.2250738585072014e-308
10,1.8331222236156464e-05,False,False,0,2.8753140817623655e-25,0.2749772353597029,-24.541314708704427,1.358433321674345e-14,2.2250738585072014e-308
12,2.5778281269595027e-06,False,False,0,1.6322769177266164e-25,0.14746973671080563,-24.787206160754593,1.6947250725242526e-14,2.2250738585072014e-308
14,3.6250708035368007e-07,False,False,0,2.2793193516274662e-31,0.08958122480856673,-30.642194822282047,1.962579646720865e-14,2.2250738585072014e-308
16,5.097755817473626e-08,False,False,0,3.768256834907225e-30,0.10632890877861714,-29.423859504450895,1.9646620503006503e-14,2.2250738585072014e-308
18,7.1687191183222865e-09,False,False,0,5.736981449446053e-35,0.036562268924462016,-34.24131655440834,1.6984748527272446e-14,2.2250738585072014e-308
20,1.0081011260140715e-09,False,False,0,1.7662206212434286e-38,0.006956452521433835,-37.7529550490007,2.48577064931122e-14,2.2250738585072014e-308
22,1.417642208457288e-10,False,False,0,4.952205696714752e-37,0.00953017481928254,-36.30520132459115,2.8297362017759876e-14,2.2250738585072014e-308
24,1.9935593556430614e-11,False,False,0,4.5826434351015266e-41,0.0022166608923592625,-40.338883932890944,3.0693309069629304e-14,2.2250738585072014e-308
