n,cost_type,parameter_index,empirical_variance,theoretical_variance,variance_ratio,variance_rel_se_exact,variance_z_exact,z_mean
4,global,0,0.006419768246867612,0.006591796875,0.9739026199692495,0.03166657637973149,-0.8241301401768949,1.3620128571775572
4,global,1,0.006672745178795414,0.006591796875,1.012280157494297,0.03166657637973149,0.3877955528579668,1.7639814178171143
4,global,2,0.005967725941795912,0.006591796875,0.9053261280591132,0.03166657637973149,-2.989709743345788,0.65628705949098
4,global,3,0.006542687454521905,0.006591796875,0.9925499190267304,0.03166657637973149,-0.23526638572896375,1.2816547701571666
4,local,0,0.007770827912494573,0.0078125,0.9946659727993054,0.0070724820254419885,-0.7541945220230236,2.5189992366569665
4,local,1,0.007736866234380822,0.0078125,0.9903188780007453,0.0070724820254419885,-1.368843634303862,2.648744127676146
4,local,2,0.007807112427966373,0.0078125,0.9993103907796957,0.0070724820254419885,-0.09750597001498328,0.4077188632213682
4,local,3,0.007721981369441376,0.0078125,0.9884136152884961,0.0070724820254419885,-1.6382345928662547,0.8755796845004844
12,global,0,2.6734053372610304e-06,2.5778281269595027e-06,1.0370766418839021,0.47459671721715546,0.0781224153873307,0.17594093403158648
12,global,1,3.6442728878748817e-06,2.5778281269595027e-06,1.4136989389487458,0.47459671721715546,0.8716852096544413,-0.8849334757651778
12,global,6,3.071345996541172e-06,2.5778281269595027e-06,1.191447158334704,0.47459671721715546,0.4033891331092073,-0.21141103682542817
12,global,11,4.258677336577558e-06,2.5778281269595027e-06,1.6520408370284112,0.47459671721715546,1.3738840016671772,-0.0451013955098717
12,local,0,0.0008741172727767284,0.0008680555555555555,1.006983098238791,0.0070724820254419885,0.9873617513159619,-0.25802229116744757
12,local,1,0.0008675773349933536,0.0008680555555555555,0.9994490899123434,0.0070724820254419885,-0.07789487278650116,-1.0249350556795955
12,local,6,0.0008788461634670448,0.0008680555555555555,1.0124307803140355,0.0070724820254419885,1.7576262858382732,-0.36044583541803527
12,local,11,0.0008652798129073878,0.0008680555555555555,0.9968023444693108,0.0070724820254419885,-0.45212635665756196,-0.9290780900292207
24,global,0,1.3115176231873582e-12,1.9935593556430614e-11,0.06578773887393499,25.656316110891385,-0.03641256434042305,0.465597442011967
24,global,1,3.3397738142512397e-12,1.9935593556430614e-11,0.16752818544366493,25.656316110891385,-0.03244705167173013,1.677143732756881
24,global,12,2.0841344137769524e-12,1.9935593556430614e-11,0.10454338406717137,25.656316110891385,-0.03490199497318704,-1.5744426272759071
24,global,23,7.739636132629443e-13,1.9935593556430614e-11,0.0388232038876659,25.656316110891385,-0.0374635544697044,1.0559330403041824
24,local,0,0.0002171267567373366,0.00021701388888888888,1.0005200950456472,0.0070724820254419885,0.07353783915975433,-1.1367136888713631
24,local,1,0.00021799794364814906,0.00021701388888888888,1.004534524330671,0.0070724820254419885,0.6411503506631447,1.1351193490565024
24,local,12,0.00022005171517296292,0.00021701388888888888,1.0139983035170133,0.0070724820254419885,1.979263215750406,-0.012557490034804728
24,local,23,0.000218441400179336,0.00021701388888888888,1.0065779720263803,0.0070724820254419885,0.9300797093180658,0.2546062507657954
