n_qubits,method,n_iters,F0,C0,gnorm0,F_final,C_final,gnorm_final,F_best,C_best,iter_best,gnorm_max,log10_gain_best,log10_gain_final,eligible_F0.01,hit_F0.01,circuit_evals_to_F0.01,shots_to_F0.01,oracle_calls_to_F0.01,eligible_F0.1,hit_F0.1,circuit_evals_to_F0.1,shots_to_F0.1,oracle_calls_to_F0.1,eligible_F0.5,hit_F0.5,circuit_evals_to_F0.5,shots_to_F0.5,oracle_calls_to_F0.5,possible_10xF0,hit_10xF0,possible_100xF0,hit_100xF0,n,start_seed,replicate,config_id,eta,shots,sigma_step,total_circuit_evaluations,total_shots,total_oracle_calls,seed_set
6,exact_gd,2000,0.0007817822484726372,0.9992182177515274,0.004262843180111075,0.0013026858289111373,0.9986973141710889,0.006074374581572101,0.0013026858289111373,0.9986973141710889,2000,0.006074374581572101,0.22175388385106326,0.22175388385106326,True,,,,,True,,,,,True,,,,,True,,True,,6,0,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,8.453253247351294e-05,0.9999154674675265,0.0036154228612332306,0.0019651825838998644,0.9980348174161001,0.01798880802863055,0.0019651825838998644,0.9980348174161001,2000,0.01798880802863055,1.3663790266072808,1.3663790266072808,True,,,,,True,,,,,True,,,,,True,1477.0,True,,6,1,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.014190446628118686,0.9858095533718814,0.05581203365855028,0.9998639189121743,0.00013608108782570127,0.011664316268899404,0.9998639189121743,0.00013608108782570127,2000,0.4481884832973795,1.8479448321170093,1.8479448321170093,False,,,,,True,701.0,0.0,0.0,701.0,True,1081.0,0.0,0.0,1081.0,True,790.0,False,,6,2,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.00190586232054641,0.9980941376794535,0.008435194080456829,0.004834600441778546,0.9951653995582215,0.017001457708205478,0.004834600441778546,0.9951653995582215,2000,0.017001457708205478,0.4042690633836925,0.4042690633836925,True,,,,,True,,,,,True,,,,,True,,True,,6,3,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.00830188076426557,0.9916981192357345,0.028839969410579966,0.7369442706902323,0.2630557293097677,0.41506213210356935,0.7369442706902323,0.2630557293097677,2000,0.4432534001919617,1.9482581552843146,1.9482581552843146,True,179.0,0.0,0.0,179.0,True,1461.0,0.0,0.0,1461.0,True,1876.0,0.0,0.0,1876.0,True,1401.0,True,,6,4,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.06613227578930443,0.9338677242106955,0.13767930709570417,0.9999994103723316,5.896276683570179e-07,0.000767871860416226,0.9999994103723316,5.896276683570179e-07,2000,0.44498527423107853,1.1795862757266888,1.1795862757266888,False,,,,,True,134.0,0.0,0.0,134.0,True,536.0,0.0,0.0,536.0,True,619.0,False,,6,5,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0006149705844730068,0.999385029415527,0.005140422158895654,0.0017228623102161808,0.9982771376897838,0.010459094348255277,0.0017228623102161808,0.9982771376897838,2000,0.010459094348255277,0.447396227446562,0.447396227446562,True,,,,,True,,,,,True,,,,,True,,True,,6,6,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.003156449140964956,0.9968435508590351,0.010676973761661279,0.008446921899461267,0.9915530781005387,0.02419359725098343,0.008446921899461267,0.9915530781005387,2000,0.02419359725098343,0.4274996826521083,0.4274996826521083,True,,,,,True,,,,,True,,,,,True,,True,,6,7,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,3.2871434016760797e-06,0.9999967128565983,3.754170453208734e-05,3.315510308455764e-06,0.9999966844896916,3.7780520095671894e-05,3.315510308455764e-06,0.9999966844896916,2000,3.7780520095671894e-05,0.003731731944006368,0.003731731944006368,True,,,,,True,,,,,True,,,,,True,,True,,6,8,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.006035527040157444,0.9939644729598426,0.024310136568123857,0.38621697428184165,0.6137830257181583,0.40223045183990064,0.38621697428184165,0.6137830257181583,2000,0.40223045183990064,1.8061161571827704,1.8061161571827704,True,466.0,0.0,0.0,466.0,True,1657.0,0.0,0.0,1657.0,True,,,,,True,1488.0,True,,6,9,0,26374,0.01,,,0,0,2000,tuning
