n,shots,k,n_samples,p_zero_median,p_zero_q25,p_zero_q75,p_zero_mean,deadzone_frac_q0.5,deadzone_frac_q0.9,deadzone_frac_q0.99,n_samples_full,p_full_zero_median,p_full_zero_mean,full_deadzone_frac_q0.5,full_deadzone_frac_q0.9,full_deadzone_frac_q0.99
4,16,0,100000,0.6152252811761483,0.17458205241161087,0.9491898448138065,0.5580141005979359,0.55536,0.31338,0.14304,5000,0.105437579668124,0.25654922944717085,0.2228,0.0704,0.0148
4,64,0,100000,0.22586058855993546,0.015331129668802878,0.8157984395269092,0.3903121942138068,0.37559,0.20062,0.08752,5000,0.0028390800936184597,0.13134578823298074,0.1004,0.0284,0.0066
4,256,0,100000,0.04395957893422564,3.0960147161615077e-06,0.4758513915499911,0.259213828504393,0.24372,0.12446,0.05266,5000,5.5135716371612796e-08,0.061938878396577045,0.0446,0.011,0.003
4,1024,0,100000,0.0005490194290386014,3.260980677246749e-20,0.13916511476896526,0.16596271167621496,0.15291,0.07529,0.03083,5000,4.526772514127893e-23,0.02773383715656301,0.0164,0.0046,0.001
4,4096,0,100000,4.989987553716714e-11,3.4527938479320237e-75,0.021242530791218933,0.1032663282820968,0.09356,0.04516,0.01793,5000,3.0926654666183074e-80,0.012060081498150356,0.0074,0.002,0.0004
4,16384,0,100000,1.5441893656191524e-38,0.0,0.00022313226485457227,0.06280655082604147,0.05609,0.02636,0.01026,5000,0.0,0.005257749696387019,0.0032,0.001,0.0
6,16,0,100000,0.9684578963101651,0.7409237054607146,0.9983514055149532,0.8157243736880128,0.84444,0.62902,0.38862,5000,0.5636800350693091,0.5228892361779234,0.5328,0.2718,0.107
6,64,0,100000,0.881140898825878,0.3542763358513135,0.9934263039950262,0.6825375234584461,0.69637,0.48147,0.27771,5000,0.181488370428876,0.35208659516299984,0.3394,0.1592,0.0594
6,256,0,100000,0.6185556006322259,0.08072076095967323,0.9740278972990196,0.5406517692736976,0.54176,0.35321,0.19298,5000,0.022478323083910748,0.22061415991070576,0.2026,0.0906,0.0306
6,1024,0,100000,0.22655701470398196,0.0019977689329945887,0.9009498603803701,0.40957010153489476,0.40533,0.25057,0.12991,5000,8.8630158499745e-05,0.1320311649916213,0.1162,0.0508,0.016
6,4096,0,100000,0.04118222839033607,2.8645882659902125e-09,0.6697393824357206,0.29856313781659655,0.29103,0.17234,0.0855,5000,7.766964082641251e-12,0.07655107682596177,0.067,0.0266,0.0072
6,16384,0,100000,0.0005821292857840323,6.345893940508852e-32,0.27229256171528815,0.21068646257693915,0.20288,0.11463,0.05574,5000,4.5581062062980604e-35,0.04285303177498622,0.0348,0.0134,0.0044
8,16,0,100000,0.9979869765658096,0.9678934353576275,0.9999352293366333,0.9349911947788062,0.9592,0.84571,0.64323,5000,0.9402370373046753,0.7562489144623333,0.7852,0.5638,0.3052
8,64,0,100000,0.9919781485720258,0.8791521015707697,0.9997409512592408,0.8639027638894509,0.88711,0.73251,0.51909,5000,0.7879861126166222,0.6117317679123873,0.6314,0.4012,0.1962
8,256,0,100000,0.9683910760673557,0.6139050828950287,0.9989643244495509,0.7655162237741668,0.78374,0.6059,0.40319,5000,0.4319697088737978,0.4645696461721892,0.4712,0.2664,0.1232
8,1024,0,100000,0.8806883270840906,0.22123459510460636,0.9958644970341575,0.6501640442829801,0.6598,0.48366,0.30346,5000,0.105808324466877,0.3292168504271249,0.322,0.1744,0.0814
8,4096,0,100000,0.6175346722171513,0.033602927800163065,0.9835774151826132,0.5309698521268644,0.53506,0.37164,0.22328,5000,0.008144976591371877,0.2215360472087013,0.2058,0.1062,0.0496
8,16384,0,100000,0.2223844922035538,0.00012496884407003228,0.9363329514980725,0.41860549005066483,0.41708,0.27822,0.15983,5000,9.940273554962238e-06,0.1452265797912641,0.1322,0.071,0.0272
10,16,0,100000,0.9998740013813507,0.996814810135861,0.9999973871726332,0.9793031553487733,0.99119,0.94833,0.83,5000,0.9932707020335115,0.895412572214149,0.9238,0.7788,0.5394
10,64,0,100000,0.9994961321638753,0.9873332075299628,0.9999895487478193,0.949306712013426,0.96592,0.8871,0.73202,5000,0.9734156455904386,0.8008952866991039,0.8278,0.6368,0.41
10,256,0,100000,0.9979863609806059,0.9505380061478156,0.9999581959078413,0.8978408022250258,0.91646,0.80277,0.62511,5000,0.8987032521952172,0.6801662285601169,0.7006,0.4992,0.3058
10,1024,0,100000,0.991975621329822,0.8199633980695387,0.9998327982951902,0.824248151991115,0.84161,0.7014,0.51709,5000,0.6641123291778304,0.5499928391874129,0.5568,0.3742,0.2128
10,4096,0,100000,0.968382405987247,0.4823794682748085,0.999331423245615,0.7327833112816783,0.74605,0.59316,0.41383,5000,0.2618907256368249,0.42655326346223293,0.4256,0.2752,0.1352
10,16384,0,100000,0.8806784984226219,0.13681427413782168,0.9973287651155117,0.630794595044511,0.63928,0.48508,0.32301,5000,0.051495032138174704,0.31912706032919025,0.32,0.1898,0.085
12,16,0,100000,0.9999919348471127,0.9996926533407067,0.9999998889959634,0.9939004546890032,0.99832,0.98544,0.93019,5000,0.9993961904851243,0.9549502408549091,0.9712,0.8964,0.7376
12,64,0,100000,0.9999677397970144,0.9987713618753163,0.9999995559839316,0.9830977416074274,0.99144,0.96018,0.87178,5000,0.9975874384345498,0.9033552218581488,0.9262,0.807,0.625
12,256,0,100000,0.9998709657247864,0.9950977977746046,0.9999982239369782,0.9606768543375525,0.97327,0.91511,0.79436,5000,0.9903952025722425,0.8268942859501737,0.8478,0.7072,0.5044
12,1024,0,100000,0.9994839674684299,0.9805710022500003,0.9999928957679391,0.9221135163841475,0.93628,0.85119,0.70647,5000,0.9623130665065035,0.7315290531911814,0.7496,0.5862,0.395
12,4096,0,100000,0.997937541806722,0.9249352052946382,0.9999715833921754,0.8657437604927792,0.8807,0.76915,0.61028,5000,0.859058540881535,0.6246469721922147,0.6396,0.4716,0.295
12,16384,0,100000,0.9917824862648663,0.7388031126866306,0.9998863386951995,0.7927796307980732,0.8056,0.6778,0.51314,5000,0.5678923846565103,0.5130077963124864,0.519,0.3634,0.2166
14,16,0,100000,0.9999995250264639,0.9999737137771807,0.9999999955883978,0.9983499239468173,0.99975,0.99653,0.97628,5000,0.9999496598217572,0.9853916720810918,0.9934,0.9664,0.8726
14,64,0,100000,0.9999981001076785,0.9998948595586187,0.9999999823535916,0.9948621242481682,0.99818,0.98808,0.94688,5000,0.9997986588112555,0.9635345708809724,0.9784,0.916,0.7824
14,256,0,100000,0.9999924004598835,0.9995795108469323,0.9999999294143681,0.9864792840048076,0.99241,0.96949,0.90369,5000,0.9991949475192552,0.9225527309566447,0.9402,0.8504,0.6878
14,1024,0,100000,0.999969602306239,0.9983192716049625,0.9999997176575051,0.9696119829399648,0.97887,0.93546,0.84552,5000,0.9967847792160044,0.8605390695978619,0.8796,0.7564,0.585
14,4096,0,100000,0.9998784166918113,0.9932960395841961,0.9999988706305449,0.9406456664110568,0.95157,0.88813,0.7729,5000,0.9872184814150762,0.780670634710507,0.7948,0.6576,0.4806
14,16384,0,100000,0.9995137862094252,0.9735340464683885,0.9999954825305668,0.8979801328752647,0.91019,0.82541,0.69052,5000,0.9500900708090361,0.6877930234102404,0.7006,0.5564,0.3786
16,16,0,100000,0.9999999684685228,0.9999976592767938,0.9999999997802389,0.99955107690027,0.99998,0.99925,0.99202,5000,0.9999955265782725,0.9938193848921586,0.9972,0.9866,0.9406
16,64,0,100000,0.9999998738740986,0.9999906371514771,0.9999999991209555,0.9984692707787268,0.99966,0.99662,0.98082,5000,0.9999821064429845,0.9841350549715676,0.992,0.9642,0.894
16,256,0,100000,0.9999994954965099,0.9999625493184907,0.999999996483822,0.9955067852276619,0.99821,0.98952,0.95977,5000,0.9999284278502034,0.9641119388932963,0.9738,0.9276,0.8218
16,1024,0,100000,0.9999979819878866,0.999850209118924,0.9999999859352882,0.988783720213456,0.9931,0.9754,0.92707,5000,0.9997137446496343,0.9309548435311384,0.9438,0.8756,0.7432
16,4096,0,100000,0.9999919279810963,0.9994010259390456,0.9999999437411546,0.9759373074237379,0.98271,0.95153,0.88121,5000,0.9988555103605483,0.8830342902470291,0.898,0.8024,0.655
16,16384,0,100000,0.9999677123971771,0.9976070834895631,0.9999997749646459,0.9543394308500277,0.96344,0.91487,0.82246,5000,0.9954305356297364,0.8189044926694306,0.8338,0.716,0.558
