n,n_samples,estimator,nonzero0.5_log10M_median,nonzero0.5_log10M_q25,nonzero0.5_log10M_q75,nonzero0.5_log10M_q90,nonzero0.5_bracket_ok_frac,nonzero0.9_log10M_median,nonzero0.9_log10M_q25,nonzero0.9_log10M_q75,nonzero0.9_log10M_q90,nonzero0.9_bracket_ok_frac,snr1_log10M_median,snr1_log10M_q25,snr1_log10M_q75,snr1_log10M_q90,snr2_log10M_median,snr2_log10M_q25,snr2_log10M_q75,snr2_log10M_q90,p_zero_median_M16,p_zero_median_M64,p_zero_median_M256,p_zero_median_M1024
2,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.295840005646444,-1.065868693330894,0.46621753041288005,1.2975170165972694,0.30621998568151837,-0.4638087020029318,1.0682775217408425,1.8995770079252319,2.349030494062215e-06,5.586641710993368e-21,1.3973104817020014e-78,0.0
4,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.30102381880151496,-1.0708896557127465,0.46460202889542745,1.3001278559005076,0.30103617252644743,-0.46882966438478413,1.0666620202233899,1.9021878472284701,2.1357095163081188e-06,3.817374756839708e-21,3.046117624069043e-79,0.0
6,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.3024474986780292,-1.0624902018400815,0.46717189622368405,1.294684174073179,0.29961249264993317,-0.46043021051211913,1.0692318875516464,1.8967441654011414,2.080383993622279e-06,3.436926514895419e-21,2.0015715429083752e-79,0.0
8,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.2994742146392386,-1.0656309583858623,0.4691453542588496,1.2908226843665433,0.3025857766887238,-0.46357096705789996,1.071205345586812,1.8928826756945056,2.197494965313499e-06,4.2786608685992046e-21,4.807539337175141e-79,0.0
10,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.30046123284819404,-1.0751561887371412,0.4601574101518371,1.287009374118248,0.30159875847976836,-0.47309619740917896,1.0622174014797996,1.8890693654462103,2.1579500898899886e-06,3.9788891683399925e-21,3.595323109114596e-79,0.0
12,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.304258390195169,-1.0685528272002505,0.46238454458348544,1.2970994455937745,0.2978016011327934,-0.46649283587228796,1.0644445359114478,1.899159436921737,2.0119521629049373e-06,3.0065409979549293e-21,1.1720965717247138e-79,0.0
14,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.2041199826559248,1.0,-0.29872397836383197,-1.060140712823968,0.4644630577528087,1.3057423886331265,0.30333601296413043,-0.4580807214960056,1.0665230490807711,1.907802379961089,2.228006315479103e-06,4.521283470505366e-21,5.994244242417172e-79,0.0
16,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.29830500195144566,-1.0591846972411716,0.46108940319158626,1.3027018445964018,0.30375498937651674,-0.4571247059132092,1.0631493945195487,1.904761835924364,2.245218055906295e-06,4.662622200717017e-21,6.779681526741065e-79,0.0
18,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.29893034822960146,-1.0626005409958121,0.46308059146664987,1.2929207103765532,0.30312964309836093,-0.4605405496678497,1.0651405827946123,1.8949807017045155,2.2195741069601637e-06,4.4532258278421584e-21,5.641404226547326e-79,0.0
20,100000,term_wise_local_projector,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.7781512503836436,1.1760912590556813,1.0,-0.2953992139842482,-1.0643909040457538,0.4655390959261102,1.295784264066792,0.3066607773437142,-0.4623309127177915,1.0675990872540726,1.8978442553947543,2.368063109266342e-06,5.769955769210618e-21,1.5901228401949506e-78,0.0
