n,label,log10A,s,shots,p_zero_exact,p_both_zero,p_zero_rare_event,p_zero_poisson
4,lower-quartile A,-2.4495994054885712,0.911462200404916,1.0,0.9964496590372988,0.996449125412952,0.9964548905800144,0.9964554223126756
4,lower-quartile A,-2.4495994054885712,0.911462200404916,2.0,0.9929129864545764,0.9929108595362368,0.9929223489608284,0.9929244683521188
4,lower-quartile A,-2.4495994054885712,0.911462200404916,3.0,0.9893899261731394,0.9893851575979056,0.9894023305882128,0.98940708231647
4,lower-quartile A,-2.4495994054885712,0.911462200404916,4.0,0.9858804223553032,0.9858719749849886,0.985894791065889,0.9859032086432794
4,lower-quartile A,-2.4495994054885712,0.911462200404916,5.0,0.9823844194033232,0.9823712672429316,0.9823996861549664,0.982412792008448
4,lower-quartile A,-2.4495994054885712,0.911462200404916,7.0,0.9754326948992595,0.9754070993418814,0.9754466039953698,0.975472109742888
4,lower-quartile A,-2.4495994054885712,0.911462200404916,9.0,0.9685343126374142,0.968492301405295,0.9685427333249454,0.9685845976539847
4,lower-quartile A,-2.4495994054885712,0.911462200404916,11.0,0.9616888363656036,0.9616265234425596,0.961687725841946,0.9617498216224296
4,lower-quartile A,-2.4495994054885712,0.911462200404916,14.0,0.951518875578275,0.9514190094465428,0.9514960772460996,0.9515955971769282
4,lower-quartile A,-2.4495994054885712,0.911462200404916,18.0,0.9381400930034738,0.9379773378813248,0.9380750262765564,0.9382372211011424
4,lower-quartile A,-2.4495994054885712,0.911462200404916,23.0,0.9217030412405876,0.9214419860596283,0.9215646114039008,0.9218247757304736
4,lower-quartile A,-2.4495994054885712,0.911462200404916,30.0,0.89921429211716,0.8987810548342444,0.8989370705562477,0.899368847630734
4,lower-quartile A,-2.4495994054885712,0.911462200404916,38.0,0.8742401007898801,0.873564450061769,0.8737565299086206,0.8744299358205142
4,lower-quartile A,-2.4495994054885712,0.911462200404916,49.0,0.8411232034210879,0.8400427451159104,0.8402809301873716,0.8413578699428972
4,lower-quartile A,-2.4495994054885712,0.911462200404916,62.0,0.8037326798849768,0.8020807245123662,0.8023684929606825,0.8040151971387933
4,lower-quartile A,-2.4495994054885712,0.911462200404916,79.0,0.7575399832738807,0.7550145045611323,0.7553596778269147,0.7578773848308944
4,lower-quartile A,-2.4495994054885712,0.911462200404916,100.0,0.7044263987504121,0.7006692070137904,0.7010747101173354,0.7048208092825311
4,lower-quartile A,-2.4495994054885712,0.911462200404916,128.0,0.6398213820059147,0.6342444570138626,0.6347143327104332,0.6402757183881623
4,lower-quartile A,-2.4495994054885712,0.911462200404916,163.0,0.5679936013915209,0.559997697601617,0.5605260627419637,0.5685013382508802
4,lower-quartile A,-2.4495994054885712,0.911462200404916,208.0,0.4882823564709123,0.4771633793110051,0.4777379550670581,0.488831180990073
4,lower-quartile A,-2.4495994054885712,0.911462200404916,265.0,0.4043803212766563,0.3895915543852077,0.3901893378422837,0.4049487590606599
4,lower-quartile A,-2.4495994054885712,0.911462200404916,338.0,0.319158534442799,0.3004927835070484,0.3010809915677643,0.31971755298862
4,lower-quartile A,-2.4495994054885712,0.911462200404916,431.0,0.2378651203885772,0.2158545293296594,0.2163934632819862,0.2383812760514382
4,lower-quartile A,-2.4495994054885712,0.911462200404916,549.0,0.1656970053154472,0.1418621518599649,0.1423134715853231,0.1661393960974637
4,lower-quartile A,-2.4495994054885712,0.911462200404916,700.0,0.1061274987147442,0.0829070039035475,0.0832434569857203,0.1064744690915307
4,lower-quartile A,-2.4495994054885712,0.911462200404916,892.0,0.061709163727539,0.0418770655200402,0.0420937449827301,0.0619551511728768
4,lower-quartile A,-2.4495994054885712,0.911462200404916,1137.0,0.0319089164651073,0.0175179454149766,0.0176335641980266,0.0320640087332777
4,lower-quartile A,-2.4495994054885712,0.911462200404916,1449.0,0.0143325745058222,0.0057740937004625,0.0058227041281691,0.0144178938839601
4,lower-quartile A,-2.4495994054885712,0.911462200404916,1847.0,0.0053960267249201,0.001401605176535,0.0014166632925496,0.005435716552917
4,lower-quartile A,-2.4495994054885712,0.911462200404916,2354.0,0.0016259180163401,0.0002308749225621,0.0002340408396014,0.0016408399519176
4,lower-quartile A,-2.4495994054885712,0.911462200404916,3000.0,0.0003680122586559,2.3194816797184456e-05,2.3600925415395848e-05,0.0003722611026492
4,lower-quartile A,-2.4495994054885712,0.911462200404916,3824.0,5.757262937989607e-05,1.2371385119191252e-06,1.264814609380665e-06,5.841369344159778e-05
4,lower-quartile A,-2.4495994054885712,0.911462200404916,4874.0,5.6238343879567065e-06,2.9532836288209463e-08,3.0377500358667024e-08,5.728156924862594e-06
4,lower-quartile A,-2.4495994054885712,0.911462200404916,6213.0,3.003616578844551e-07,2.52188135296485e-10,2.6141832408738905e-10,3.074546170368409e-07
4,lower-quartile A,-2.4495994054885712,0.911462200404916,7918.0,7.462857518611626e-09,5.85762868702064e-13,6.132214808262829e-13,7.687576701835186e-09
4,lower-quartile A,-2.4495994054885712,0.911462200404916,10093.0,6.934353053767073e-11,2.556408628607529e-16,2.7101348947028715e-16,7.201103267943307e-11
4,lower-quartile A,-2.4495994054885712,0.911462200404916,12864.0,1.8507134967291786e-13,1.3390487213004388e-20,1.442512851429218e-20,1.9418031285492333e-13
4,typical A,-1.4742643474882855,-0.9850696239987332,1.0,0.9664633516457352,0.9664550098835882,0.9670033377515852,0.9670114042802462
4,typical A,-1.4742643474882855,-0.9850696239987332,2.0,0.934067533949944,0.9340352861290868,0.9350954552227064,0.93512665685847
4,typical A,-1.4742643474882855,-0.9850696239987332,3.0,0.9027732057945068,0.9027030816875068,0.9042404263166948,0.9043083142179064
4,typical A,-1.4742643474882855,-0.9850696239987332,4.0,0.8725424002244145,0.8724219157342449,0.8744035103781602,0.8745202193299844
4,typical A,-1.4742643474882855,-0.9850696239987332,5.0,0.8433384758779304,0.8431565311935986,0.8455511130773838,0.8457274569276898
4,typical A,-1.4742643474882855,-0.9850696239987332,6.0,0.8151260701520006,0.8148728536881213,0.8176507485853981,0.8178963103506894
4,typical A,-1.4742643474882855,-0.9850696239987332,8.0,0.7615404885837054,0.7611199990534098,0.7645814989616494,0.7649897426935607
4,typical A,-1.4742643474882855,-0.9850696239987332,9.0,0.7361025828747484,0.7355882362077598,0.7393528614790251,0.7398525138354791
4,typical A,-1.4742643474882855,-0.9850696239987332,11.0,0.6877830857899153,0.6870653686795052,0.6913655005749395,0.6920635086784731
4,typical A,-1.4742643474882855,-0.9850696239987332,13.0,0.6426796933595331,0.641743298223948,0.6464927374853973,0.6474044569295241
4,typical A,-1.4742643474882855,-0.9850696239987332,16.0,0.5805843111634856,0.5793036529590625,0.5845848685544427,0.5858339109760518
4,typical A,-1.4742643474882855,-0.9850696239987332,19.0,0.5245697579368699,0.5229391927589756,0.5286052707599583,0.5301982988574104
4,typical A,-1.4742643474882855,-0.9850696239987332,23.0,0.4583088863109658,0.4562236123593051,0.4622143043569054,0.4642562112703713
4,typical A,-1.4742643474882855,-0.9850696239987332,28.0,0.3872750399096277,0.3846679184454846,0.39082581952927,0.3933859795593346
4,typical A,-1.4742643474882855,-0.9850696239987332,33.0,0.3273905945328152,0.3243352677779569,0.3304632067223549,0.3334720181697633
4,typical A,-1.4742643474882855,-0.9850696239987332,40.0,0.2589653835171523,0.2554263325034453,0.2612876751128229,0.2647866880930372
4,typical A,-1.4742643474882855,-0.9850696239987332,48.0,0.1982946946177645,0.1944100899532382,0.1997757222979666,0.2036337838460134
