n,label,log10A,s,target,M_exact,M_rare_event_approx,ratio_approx_over_exact,abs_log10_err
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,P_nonzero>=0.5,201.0,195.17530492156337,0.9710214175202158,0.012771190886779152
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,P_nonzero>=0.9,721.0,648.3583288471491,0.8992487223954911,0.04612017053139446
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,P_nonzero>=0.95,969.0,843.5336337687121,0.8705197458913437,0.06022137338709658
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,P_nonzero>=0.99,1594.0,1296.716657694298,0.8134985305484931,0.08964322720807785
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,SNR>=0.5,85.0,,,
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,SNR>=1.0,338.0,,,
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,SNR>=2.0,1352.0,,,
4,lower-quartile A,-2.4495994054885712,0.9114622004049161,SNR>=5.0,8446.0,,,
4,typical A,-1.4742643474882855,-0.9850696239987333,P_nonzero>=0.5,21.0,20.658073036343787,0.9837177636354184,0.007129486200495455
4,typical A,-1.4742643474882855,-0.9850696239987333,P_nonzero>=0.9,69.0,68.62463320566552,0.9945599015313843,0.002369054549506621
4,typical A,-1.4742643474882855,-0.9850696239987333,P_nonzero>=0.95,90.0,89.28270624200927,0.9920300693556585,0.003475163775941979
4,typical A,-1.4742643474882855,-0.9850696239987333,P_nonzero>=0.99,140.0,137.249266411331,0.9803519029380786,0.00861800382650822
4,typical A,-1.4742643474882855,-0.9850696239987333,SNR>=0.5,8.0,,,
4,typical A,-1.4742643474882855,-0.9850696239987333,SNR>=1.0,30.0,,,
4,typical A,-1.4742643474882855,-0.9850696239987333,SNR>=2.0,119.0,,,
4,typical A,-1.4742643474882855,-0.9850696239987333,SNR>=5.0,743.0,,,
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,P_nonzero>=0.5,6.0,4.5296163596704355,0.7549360599450726,0.12208982981312681
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,P_nonzero>=0.9,59.0,15.047059844250642,0.25503491261441763,0.5934003634173026
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,P_nonzero>=0.95,116.0,19.57667620392107,0.16876445003380233,0.7727190315264426
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,P_nonzero>=0.99,300.0,30.094119688501276,0.10031373229500426,0.9986396108308396
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,SNR>=0.5,21.0,,,
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,SNR>=1.0,83.0,,,
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,SNR>=2.0,332.0,,,
4,upper-quartile A,-0.8152359595253784,0.26904840293437154,SNR>=5.0,2072.0,,,
6,lower-quartile A,-4.022772222666706,0.9463474479911156,P_nonzero>=0.5,7442.0,7304.620936265469,0.9815400344350268,0.008091981973670491
6,lower-quartile A,-4.022772222666706,0.9463474479911156,P_nonzero>=0.9,25861.0,24265.425510682693,0.938301902891717,0.027657402916994804
6,lower-quartile A,-4.022772222666706,0.9463474479911156,P_nonzero>=0.95,34305.0,31570.046446948152,0.9202753664756785,0.03608220282062589
6,lower-quartile A,-4.022772222666706,0.9463474479911156,P_nonzero>=0.99,55001.0,48530.85102136538,0.8823630665145248,0.05435267865561712
6,lower-quartile A,-4.022772222666706,0.9463474479911156,SNR>=0.5,2942.0,,,
6,lower-quartile A,-4.022772222666706,0.9463474479911156,SNR>=1.0,11767.0,,,
6,lower-quartile A,-4.022772222666706,0.9463474479911156,SNR>=2.0,47065.0,,,
6,lower-quartile A,-4.022772222666706,0.9463474479911156,SNR>=5.0,294153.0,,,
6,typical A,-2.678836360265897,-0.992898878880531,P_nonzero>=0.5,332.0,330.87337494112467,0.996606551027484,0.001476262393000974
6,typical A,-2.678836360265897,-0.992898878880531,P_nonzero>=0.9,1108.0,1099.1375600671224,0.9920014080028181,0.0034877114270507304
6,typical A,-2.678836360265897,-0.992898878880531,P_nonzero>=0.95,1444.0,1430.0109350082464,0.9903122818616665,0.004227834792625928
6,typical A,-2.678836360265897,-0.992898878880531,P_nonzero>=0.99,2233.0,2198.2751201342444,0.9844492253176195,0.006806678442096679
6,typical A,-2.678836360265897,-0.992898878880531,SNR>=0.5,121.0,,,
6,typical A,-2.678836360265897,-0.992898878880531,SNR>=1.0,484.0,,,
6,typical A,-2.678836360265897,-0.992898878880531,SNR>=2.0,1933.0,,,
6,typical A,-2.678836360265897,-0.992898878880531,SNR>=5.0,12080.0,,,
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,P_nonzero>=0.5,49.0,39.788290543422434,0.8120059294576008,0.09044079942715652
