n,k,n_samples,empirical_mean_logA,theory_mean_logA,empirical_var_logA,theory_var_logA,empirical_mean_A,theory_mean_A,geometric_A_theory,log10A_median,log10A_q25,log10A_q75,nonzero0.5_method,nonzero0.5_bracket_ok_frac,nonzero0.5_log10M_median,nonzero0.5_log10M_q25,nonzero0.5_log10M_q75,nonzero0.5_log10M_q90,nonzero0.5_log10M_geomean,nonzero0.5_rare_event_log10M_median,nonzero0.5_poisson_log10M_median,nonzero0.5_median_abs_log10_err_rare_event,nonzero0.5_median_abs_log10_err_poisson,nonzero0.5_max_abs_log10_err_poisson,nonzero0.9_method,nonzero0.9_bracket_ok_frac,nonzero0.9_log10M_median,nonzero0.9_log10M_q25,nonzero0.9_log10M_q75,nonzero0.9_log10M_q90,nonzero0.9_log10M_geomean,nonzero0.9_rare_event_log10M_median,nonzero0.9_poisson_log10M_median,nonzero0.9_median_abs_log10_err_rare_event,nonzero0.9_median_abs_log10_err_poisson,nonzero0.9_max_abs_log10_err_poisson,snr1_method,snr1_finite_frac,snr1_log10M_median,snr1_log10M_q25,snr1_log10M_q75,snr1_log10M_q90,snr1_log10M_geomean,snr2_method,snr2_finite_frac,snr2_log10M_median,snr2_log10M_q25,snr2_log10M_q75,snr2_log10M_q90,snr2_log10M_geomean
2,0,100000,-1.3893811976109696,-1.3862943611198906,3.336071201548373,3.289868133696453,0.5000488042662249,0.5,0.25,-0.2997115953904457,-0.8353967212837459,-0.06903317047879354,exact_bisection_all_samples,1.0,0.3010299956639812,0.0,0.7781512503836436,1.505149978319906,0.5394094714070691,0.14053705643558406,0.1887450854207232,0.096638337449947,0.04588439664664329,0.3577299680782065,exact_bisection_all_samples,1.0,1.0,0.6020599913279624,1.5440680443502757,2.292256071356476,1.1852390540416824,0.6619272840899089,1.0182502844682555,0.18067181295875254,0.038650739477371965,0.41824444626636254,closed_form,1.0,0.7242679623085119,0.025637607764479993,1.6045054190958228,2.6267620105189224,0.9119685711131226,closed_form,1.0,1.3263279536364743,0.6276975990924424,2.2065654104237855,3.2288220018468845,1.514028562441085
4,0,100000,-4.160827038165438,-4.1588830833596715,9.825453376784875,9.869604401089358,0.12471926257592937,0.125,0.015625,-1.4928958002112411,-2.4843761450051867,-0.7919365597752352,exact_bisection_all_samples,1.0,1.380211241711606,0.6989700043360189,2.374748346010104,3.5354460265931325,1.7081790103055003,1.3337212612563794,1.3796975238682032,0.057126859367614746,0.0035731032428808485,0.3444172123929267,exact_bisection_all_samples,1.0,2.146128035678238,1.4313637641589874,3.1405865773059625,4.306043102586642,2.4326096484743,1.8551114889107043,2.143449912831241,0.1676121110081552,0.002105566642384149,0.41702204962090894,closed_form,1.0,2.079596805008039,1.1883522995697922,3.2355291881065447,4.535035646777011,2.3605137145054433,closed_form,1.0,2.681656796336001,1.7904122908977547,3.8375891794345067,5.137095638104973,2.9625737058334063
6,0,100000,-6.945904333284979,-6.931471805599453,16.424180215621078,16.449340668482265,0.030986860504930845,0.03125,0.0009765625,-2.697175724298596,-3.9865399472944665,-1.7121023150843537,exact_bisection_all_samples,1.0,2.5854607295085006,1.6020599913279623,3.8723748157591693,5.275728629401058,2.9079199126153528,2.538001185343734,2.5850548130318476,0.046691039692488,0.00023022153328189354,0.324579614743765,exact_bisection_all_samples,1.0,3.338854746252323,2.3404441148401185,4.632990974059272,6.042052429815939,3.6480502078242716,3.059391412998059,3.3386966682089536,0.171226107310663,0.00013097745864487642,0.39817031285239995,closed_form,1.0,3.299054639603965,2.188133108005471,4.706214988784984,6.214700205041131,3.609315550349667,closed_form,1.0,3.9011146309319273,2.7901930993334334,5.308274980112947,6.816760196369093,4.21137554167763
8,0,100000,-9.705964433802434,-9.704060527839234,23.021400972814128,23.029076935875167,0.007772757540667594,0.0078125,6.103515625e-05,-3.89979695889492,-5.392723261753558,-2.6890942619068032,exact_bisection_all_samples,1.0,3.787318750842032,2.5774917998372255,5.279910367308379,6.8948700049991665,4.103970915549129,3.740622419940058,3.7873025131614924,0.043991490988655846,1.5017431037378515e-05,0.22369155826237258,exact_bisection_all_samples,1.0,4.535838229678003,3.317436496535099,6.038821864991683,7.662267429305383,4.8481498503358695,4.262012647594384,4.53584640002405,0.17501611476411005,8.322588933573627e-06,0.19866207325594387,closed_form,1.0,4.4913173099169645,3.1896369972578467,6.101623063660146,7.80220761026663,4.814958429431483,closed_form,1.0,5.093377301244927,3.791696988585809,6.703683054988108,8.404267601594592,5.4170184207594465
10,0,100000,-12.475708783494825,-12.476649250079015,29.611961655668964,29.608813203268074,0.0019756072663289184,0.001953125,3.814697265625e-06,-5.1037189626462895,-6.787008494690831,-3.7002164205524544,exact_bisection_all_samples,1.0,4.9915228871251625,3.587486465410964,6.672924355706118,8.46696179523312,5.305931400343615,4.944544423691428,4.991520776390803,0.04264296086367597,9.356267338667124e-07,0.18057102339532477,exact_bisection_all_samples,1.0,5.739554940673035,4.32708293294981,7.423715271658081,9.225289137857215,6.049865360605823,5.465934651345753,5.739554637943272,0.17235552832191847,5.236344100545409e-07,0.11328537990565946,closed_form,1.0,5.696291368540258,4.213107423069312,7.472944323078479,9.348448390465832,6.016237681702826,closed_form,1.0,6.298351359868221,4.8151674143972745,8.07500431440644,9.950508381793794,6.618297673030788
12,0,100000,-15.221926500477297,-15.249237972318797,36.00144492080223,36.18854947066098,0.0005135638974230949,0.00048828125,2.384185791015625e-07,-6.297505658686033,-8.158781204421935,-4.716406134081504,exact_bisection_all_samples,1.0,6.184234471303739,4.604169324533538,8.045561275608188,9.994521052835188,6.498685589740529,6.138331119731172,6.184234439342614,0.04319430154043724,6.125021911884687e-08,0.0734959191106731,exact_bisection_all_samples,1.0,6.93153419544096,5.342518905344809,8.80396460060877,10.75556247362027,7.244816285836929,6.659721347385497,6.93153421689208,0.17637916164871292,3.413673654861782e-08,0.05075880314127035,closed_form,1.0,6.897041331872547,5.237183199527275,8.844620180566219,10.860908281868666,7.216639468473406,closed_form,1.0,7.4991013232005095,5.839243190855237,9.44668017189418,11.462968273196628,7.818699459801367
14,0,100000,-18.062126877883127,-18.021826694558577,42.95348598619196,42.76828573805388,0.00012075849578640138,0.0001220703125,1.4901161193847656e-08,-7.527450435458846,-9.559523679894346,-5.784386001540801,exact_bisection_all_samples,1.0,7.416863777758,5.672344965598284,9.44619814329112,11.53226719338919,7.73180881377487,7.3682758965039845,7.41686377445785,0.04237327418398351,3.5662499620059407e-09,0.03545261085722662,exact_bisection_all_samples,1.0,8.163163498718927,6.409331707687613,10.195009952126096,12.289481949274412,8.476106360170517,7.88966612415831,8.163163501414786,0.17245206339421504,1.974902019696856e-09,0.02055256506034331,closed_form,1.0,8.128037778048707,6.315773370826267,10.229042166938306,12.399892025385418,8.444108046219945,closed_form,1.0,8.73009776937667,6.917833362154229,10.831102158266269,13.00195201671338,9.046168037547908
16,0,100000,-20.765561821805743,-20.79441541679836,48.95433988143405,49.348022005446786,3.066689170611702e-05,3.0517578125e-05,9.313225746154785e-10,-8.705375659293043,-10.862169117117006,-6.834769257652349,exact_bisection_all_samples,1.0,8.59333759935739,6.723706057448405,10.751823459840761,12.947329222242288,8.906283821524896,8.546201120338182,8.593337599279586,0.04314749814391483,2.3925483816356063e-10,0.012821094141492684,exact_bisection_all_samples,1.0,9.348677686716425,7.468532837032976,11.504514165022256,13.69808574308877,9.652984974179018,9.067591347992504,9.348677686808783,0.17646100375186435,1.3063150561265502e-10,0.009057575449024746,closed_form,1.0,9.31117033934748,7.373876171586862,11.534411825780177,13.78615234239548,9.623837699057635,closed_form,1.0,9.913230330675443,7.975936162914825,12.13647181710814,14.388212333723443,10.225897690385597
18,0,100000,-23.541778510876618,-23.56700413903814,55.70486379893898,55.9277582728397,8.321106157498335e-06,7.62939453125e-06,5.820766091346741e-11,-9.913062478419398,-12.19797113667325,-7.897048853975337,exact_bisection_all_samples,1.0,9.801600361565011,7.785337568576049,12.086548315061766,14.41699488094809,10.11183840376692,9.753887939464537,9.80160036155365,0.04300845649546625,1.432232110687437e-11,0.005308780025226056,exact_bisection_all_samples,1.0,10.547268176234525,8.528638563474697,12.839320584729307,15.179194221182225,10.857957285284693,10.275278167118861,10.547268176243001,0.17575088191301447,8.289369191061269e-12,0.011786881940500482,closed_form,1.0,10.525432675707748,8.443125449247887,12.861393976012982,15.2720519761339,10.829782862442855,closed_form,1.0,11.12749266703571,9.04518544057585,13.463453967340945,15.874111967461863,11.431842853770817
20,0,100000,-26.33053168067697,-26.33959286127792,62.42620488844124,62.50749454023261,1.7468904810712349e-06,1.9073486328125e-06,3.637978807091713e-12,-11.111775932509186,-13.517362101561616,-8.981391965753504,exact_bisection_all_samples,1.0,10.99891576908217,8.869127141388866,13.406515870701309,15.865439578218629,11.322993499278194,10.952601393554325,10.99891576908108,0.04283200889805494,9.023892744153272e-13,0.001895847202237455,exact_bisection_all_samples,1.0,11.746204437883764,9.609820042923428,14.169714458929617,16.624799136560586,12.06896814756212,11.47399162120865,11.746204437884241,0.17485018671292973,5.151434834260726e-13,0.0009291892701690507,closed_form,1.0,11.721650667920063,9.52836859834839,14.193617089864679,16.698719373545735,12.040862147774,closed_form,1.0,12.323710659248025,10.130428589676352,14.795677081192641,17.300779364873698,12.642922139101962
