benchmark,n,shots,n_samples,frac_p_zero_ge,frac_p_correct_le,frac_both,frac_resolved,median_p_zero,median_p_correct,p_zero_level,p_correct_level
parity,4,16,20000,0.0,0.46135,0.0,0.53865,0.12300058114489629,0.6314302857829968,0.9,0.6
parity,4,64,20000,0.0,0.28415,0.0,0.71585,0.04199762353152318,0.8237739913626855,0.9,0.6
parity,4,256,20000,0.0,0.17465,0.0,0.82535,0.004467293675968051,0.9766646928382395,0.9,0.6
parity,4,1024,20000,0.0,0.10825,0.0,0.89175,4.550179063049233e-06,0.9999736577843841,0.9,0.6
parity,4,4096,20000,0.0,0.06765,0.0,0.93235,3.912599874774002e-17,0.9999999999975652,0.9,0.6
parity,4,16384,20000,0.0,0.04225,0.0,0.95775,1.613457084325402e-60,1.0,0.9,0.6
parity,6,16,20000,0.0,0.73475,0.0,0.26525,0.13880138533617958,0.48127994969912746,0.9,0.6
parity,6,64,20000,0.0,0.5539,0.0,0.4461,0.06810378723805571,0.5670727155701377,0.9,0.6
parity,6,256,20000,0.0,0.40335,0.0,0.59665,0.030890907161478035,0.6806731221189048,0.9,0.6
parity,6,1024,20000,0.0,0.2887,0.0,0.7113,0.010403336046940787,0.8425680602699325,0.9,0.6
parity,6,4096,20000,0.0,0.20015,0.0,0.79985,0.0010691387465982167,0.9794784461981567,0.9,0.6
parity,6,16384,20000,0.0,0.13665,0.0,0.86335,9.537198775561956e-07,0.9999795793227435,0.9,0.6
parity,8,16,20000,0.0,0.90235,0.0,0.09765,0.13987896264633604,0.4426663343474748,0.9,0.6
parity,8,64,20000,0.0,0.77755,0.0,0.22245,0.07024342389119397,0.49022518959887373,0.9,0.6
parity,8,256,20000,0.0,0.6405,0.0,0.3595,0.034959748291864844,0.5331854757769421,0.9,0.6
parity,8,1024,20000,0.0,0.51375,0.0,0.48625,0.017065663032456865,0.5920200177577839,0.9,0.6
parity,8,4096,20000,0.0,0.3989,0.0,0.6011,0.007741697847032993,0.6909644603527461,0.9,0.6
parity,8,16384,20000,0.0,0.3032,0.0,0.6968,0.0026219795986421783,0.8446421179882967,0.9,0.6
parity,10,16,20000,0.0,0.9677,0.0,0.0323,0.1399454867735449,0.43318294668766494,0.9,0.6
parity,10,64,20000,0.0,0.90805,0.0,0.09195,0.0703771457019222,0.47115968692130983,0.9,0.6
parity,10,256,20000,0.0,0.81995,0.0,0.18005,0.035226719736589904,0.4951001554454156,0.9,0.6
parity,10,1024,20000,0.0,0.7116,0.0,0.2884,0.01759295510394795,0.5166269408641774,0.9,0.6
parity,10,4096,20000,0.0,0.605,0.0,0.395,0.008743770100113735,0.546376429370071,0.9,0.6
parity,10,16384,20000,0.0,0.50195,0.0,0.49805,0.004266574733542227,0.598547724462805,0.9,0.6
parity,12,16,20000,0.0,0.9926,0.0,0.0074,0.13994964028559134,0.4308362837025794,0.9,0.6
parity,12,64,20000,0.0,0.96775,0.0,0.03225,0.07038550110781512,0.4664389846959106,0.9,0.6
parity,12,256,20000,0.0,0.9213,0.0,0.0787,0.035243451643480764,0.48564650114663666,0.9,0.6
parity,12,1024,20000,0.0,0.85375,0.0,0.14625,0.0176264039722602,0.49772542647714063,0.9,0.6
parity,12,4096,20000,0.0,0.7759,0.0,0.2241,0.008810456876240057,0.5086714688658627,0.9,0.6
parity,12,16384,20000,0.0,0.6859,0.0,0.3141,0.004398232219723739,0.5239408297693553,0.9,0.6
parity,14,16,20000,0.0,0.9982,0.0,0.0018,0.13994991725933548,0.43021918148322535,0.9,0.6
parity,14,64,20000,0.0,0.99,0.0,0.01,0.07038605830806657,0.46519753229425226,0.9,0.6
parity,14,256,20000,0.0,0.96985,0.0,0.03015,0.03524456766271658,0.48315998373502805,0.9,0.6
parity,14,1024,20000,0.0,0.93475,0.0,0.06525,0.0176286367093322,0.4927507868203389,0.9,0.6
parity,14,4096,20000,0.0,0.88265,0.0,0.11735,0.008814921807758738,0.49872301194442104,0.9,0.6
parity,14,16384,20000,0.0,0.8225,0.0,0.1775,0.004407154680330108,0.5040573188900839,0.9,0.6
parity,16,16,20000,0.0,0.99975,0.0,0.00025,0.13994993297035369,0.43007513629466865,0.9,0.6
parity,16,64,20000,0.0,0.99705,0.0,0.00295,0.07038608991471182,0.4649077493409668,0.9,0.6
parity,16,256,20000,0.0,0.9891,0.0,0.0109,0.03524463096861923,0.4825795686141101,0.9,0.6
parity,16,1024,20000,0.0,0.97525,0.0,0.02475,0.01762876336712415,0.49158953435246233,0.9,0.6
parity,16,4096,20000,0.0,0.9499,0.0,0.0501,0.00881517514341999,0.49640031805087415,0.9,0.6
parity,16,16384,20000,0.0,0.91255,0.0,0.08745,0.004407661338292769,0.49941201424614673,0.9,0.6
projector,4,16,20000,0.3075,0.681,0.3075,0.319,0.5952060680766267,0.31874205113453513,0.9,0.6
projector,4,64,20000,0.1971,0.48895,0.1971,0.51105,0.21056865237078692,0.6204816981331406,0.9,0.6
projector,4,256,20000,0.12175,0.3339,0.12175,0.6661,0.04039228194051318,0.9145266800140666,0.9,0.6
projector,4,1024,20000,0.0735,0.2218,0.0735,0.7782,0.00036520153589768176,0.999283544499566,0.9,0.6
projector,4,4096,20000,0.043,0.14195,0.043,0.85805,9.90982385552262e-12,0.9999999999796438,0.9,0.6
projector,4,16384,20000,0.0235,0.0895,0.0235,0.9105,4.4724074200581356e-41,1.0,0.9,0.6
projector,6,16,20000,0.63195,0.9091,0.63195,0.0909,0.9691475240967955,0.024766183727841867,0.9,0.6
projector,6,64,20000,0.483,0.78775,0.483,0.21225,0.8836753602070498,0.0936790560584439,0.9,0.6
projector,6,256,20000,0.3534,0.64605,0.3534,0.35395,0.6241572204406771,0.2999950176706351,0.9,0.6
projector,6,1024,20000,0.25015,0.5015,0.25015,0.4985,0.22987489527898264,0.5958742097455694,0.9,0.6
projector,6,4096,20000,0.16945,0.37575,0.16945,0.62425,0.04237509445365628,0.892883972334915,0.9,0.6
projector,6,16384,20000,0.1142,0.26935,0.1142,0.73065,0.0007145606615665324,0.9985545192109939,0.9,0.6
projector,8,16,20000,0.85065,0.97865,0.85065,0.02135,0.998011702837399,0.001599294781427298,0.9,0.6
projector,8,64,20000,0.73775,0.93,0.73775,0.07,0.9920733992997914,0.006374662857584764,0.9,0.6
projector,8,256,20000,0.6109,0.85175,0.6109,0.14825,0.9687065417315941,0.02507261706063579,0.9,0.6
projector,8,1024,20000,0.48485,0.74485,0.48485,0.25515,0.8818371156681477,0.09474064507537694,0.9,0.6
projector,8,4096,20000,0.3761,0.62315,0.3761,0.37685,0.6187538507808701,0.30326666152119486,0.9,0.6
projector,8,16384,20000,0.2797,0.50145,0.2797,0.49855,0.22635289023416705,0.5962513404147622,0.9,0.6
projector,10,16,20000,0.94705,0.9959,0.94705,0.0041,0.9998733980178145,0.00010161656268662078,0.9,0.6
projector,10,64,20000,0.88795,0.9803,0.88795,0.0197,0.9994937271626918,0.00040639571445292026,0.9,0.6
projector,10,256,20000,0.80345,0.9466,0.80345,0.0534,0.9979770679581352,0.001624455004338958,0.9,0.6
projector,10,1024,20000,0.70155,0.8872,0.70155,0.1128,0.9919426832506881,0.006475358986982399,0.9,0.6
projector,10,4096,20000,0.59255,0.80605,0.59255,0.19395,0.9682278809336338,0.02553511637619099,0.9,0.6
projector,10,16384,20000,0.4839,0.70795,0.4839,0.29205,0.8801788474814907,0.0963202619380864,0.9,0.6
projector,12,16,20000,0.9852,0.9994,0.9852,0.0006,0.9999919294227173,6.489650579755146e-06,0.9,0.6
projector,12,64,20000,0.9602,0.99565,0.9602,0.00435,0.9999677181142567,2.5958347956434036e-05,0.9,0.6
projector,12,256,20000,0.9145,0.9841,0.9145,0.0159,0.9998708792309075,0.00010382932215813323,0.9,0.6
projector,12,1024,20000,0.8483,0.9598,0.8483,0.0402,0.9994836252855368,0.0004152202883739689,0.9,0.6
projector,12,4096,20000,0.77025,0.91405,0.77025,0.08595,0.9979362336416402,0.001658902708823164,0.9,0.6
projector,12,16384,20000,0.678,0.85095,0.678,0.14905,0.991772851394077,0.006614318622672517,0.9,0.6
projector,14,16,20000,0.996,0.99995,0.996,5e-05,0.9999995116745322,3.822300891354047e-07,0.9,0.6
projector,14,64,20000,0.98805,0.9989,0.98805,0.0011,0.9999980466996866,1.5289187814127025e-06,0.9,0.6
projector,14,256,20000,0.9704,0.9958,0.9704,0.0042,0.9999921868236801,6.115649927085354e-06,0.9,0.6
projector,14,1024,20000,0.93785,0.98725,0.93785,0.01275,0.9999687476936538,2.4462196538233005e-05,0.9,0.6
