benchmark,n,n_samples,median_abs_g,median_p_pos,median_tv,mean_tv,median_hellinger2,mean_hellinger2,median_kl,mean_kl,median_chi2_mid,mean_chi2_mid,median_shots_1_over_hellinger2,median_shots_1_over_tv2,median_shots_4_over_chi2
parity,2,20000,0.18067212400191823,0.49706869238308826,0.3613442480038366,0.4050830171945335,0.06756751784791731,0.1576963237884709,0.27348785037694606,0.7243411432626333,0.5222786645649462,0.9992329072138456,14.800011170916926,7.658746837548543,7.658746837548543
parity,4,20000,0.04516794617502634,0.49996830717036206,0.09033589235005268,0.16424979711516066,0.00408864523338745,0.03463743420137265,0.01636576218961306,0.14503787887941785,0.03264229378771338,0.2496548987728956,244.57979184796545,122.54040805159116,122.54040805159116
parity,6,20000,0.011353954313739499,0.49999932491277466,0.022707908627478984,0.06734700731300607,0.00025785780244214074,0.008399344476914056,0.0010314755460122983,0.03427488095211285,0.0020625964569524957,0.06379142379802429,3878.1064236242833,1939.303244048053,1939.303244048053
parity,8,20000,0.002782782880415232,0.500000041909952,0.0055655657608304765,0.02695411437460315,1.5487882264075825e-05,0.002047217518053599,6.195168897468349e-05,0.008277941034107294,0.00012390209861438568,0.015904259232146768,64566.626661667935,32283.563332752594,32283.563332752594
parity,10,20000,0.0007049573417364513,0.49999999649318405,0.0014099146834728737,0.011132188845359953,9.939302035855135e-07,0.0005058647165361545,3.975721473196861e-06,0.0020359274213359612,7.951437677495773e-06,0.003978767489823373,1006106.8733529684,503053.68665125605,503053.68665125605
parity,12,20000,0.00017975069960227122,0.5000000024385632,0.00035950139920451485,0.004535256793780925,6.462063012468988e-08,0.00011786798547717656,2.584825231799102e-07,0.0004722875678619583,5.169650241506883e-07,0.0009381568446715512,15474934.216948567,7737467.36062238,7737467.36062238
parity,14,20000,4.485238416507918e-05,0.500000000522117,8.970476833014551e-05,0.0018921130717995524,4.0234727771704115e-09,3.7477060560533775e-05,1.609389105009407e-08,0.00015022447571471726,3.2187782047317994e-08,0.00029797181527384806,248541516.3877737,124270758.85059285,124270758.85059285
parity,16,20000,1.1039267327659094e-05,0.4999999999780004,2.2078534655356474e-05,0.000699264379008393,2.4373089657636626e-10,7.361260480105733e-06,9.74923419456915e-10,2.9465405733648064e-05,1.9498468528439843e-09,5.876895082449758e-05,4102886354.1946554,2051443513.6549277,2051443513.6549277
parity,18,20000,2.792027278544775e-06,0.5000000000039044,5.584054557083995e-06,0.00028961490207660183,1.5590861934811073e-11,2.3204089516625502e-06,6.236330895967215e-11,9.290440005463438e-06,1.2472667671549154e-10,1.8511028882924975e-05,64140167244.59401,32070140065.230083,32070140065.230083
parity,20,20000,6.920929132899052e-07,0.49999999999998973,1.3841858265417617e-06,0.00011265288369349423,9.57983692373432e-13,3.275111065951269e-07,3.8319625251752225e-12,1.310100582123232e-06,7.66388161226849e-12,2.619752104071794e-06,1043859106162.7583,521928731150.45056,521928731150.45056
projector,2,20000,0.11365981873053402,0.1271364674695996,0.22731963746106804,0.3169185694502788,0.050851141968562386,0.14004226341063283,0.20849653697730086,0.7221721240336315,0.3428428903157048,0.8226603682350757,19.665241781947515,19.352010726714603,11.667151693680127
projector,4,20000,0.007643728774408074,0.007958972724088601,0.015287457548816146,0.07929732875475466,0.0024360244892256966,0.02758421246651951,0.009988665112998956,0.1429889424437466,0.0160682748437204,0.1618868138213302,410.5049109438517,4278.873758605073,248.93774666833127
projector,6,20000,0.0005186631490207028,0.0005382471439521817,0.0010373262980414057,0.019846008813772915,0.00016527532899540676,0.006303575275926222,0.0006789982770991702,0.03344256811173447,0.0010665350342750355,0.03594523775314725,6050.509830075022,929328.430883043,3750.4628299628002
projector,8,20000,3.126798506512475e-05,2.960488911415244e-05,6.25359701302495e-05,0.004719061219507855,9.719312417166837e-06,0.0014303335441063331,4.03581620672473e-05,0.00787982268932023,6.343381566608104e-05,0.00797725287245225,102887.94432895297,255705616.68369466,63057.850252708246
projector,10,20000,1.964872708812208e-06,1.9742197316562796e-06,3.929745417624417e-06,0.0011815368536094867,6.250779002181517e-07,0.00036157428891439054,2.6342657983049722e-06,0.0021405075523172655,3.964345428518298e-06,0.0019720355835204286,1599801.5590917736,64754696313.697296,1008994.097356508
projector,12,20000,1.2815842648908165e-07,1.302928868516924e-07,2.563168529781633e-07,0.0003224246576188177,4.0041386928368894e-08,9.504773880990931e-05,1.7076415628692682e-07,0.0004717810049512046,2.567092169622679e-07,0.0005257597310014615,24974160.993202195,15221087416796.652,15581832.71364053
projector,14,20000,8.000748605246503e-09,7.964058432569135e-09,1.6001497210493006e-08,7.914830577135438e-05,2.4091882933063857e-09,2.285061261198565e-05,1.004094620804644e-08,0.00011673571836466712,1.5395469639353426e-08,0.00012662826933794382,415077563.7770854,3905519067103777.0,259816696.37283832
projector,16,20000,5.24293869501437e-10,5.405296476784619e-10,1.0485877390028737e-09,2.404587200043627e-05,1.6670098634818942e-10,7.6032705099739195e-06,7.121389052031542e-10,4.338312461205107e-05,1.0696422418990988e-09,4.0451320794434625e-05,5998767213.335125,9.094746809829343e+17,3739568319.173089
projector,18,20000,2.718040032190155e-11,2.7532921368854515e-11,5.43608006438031e-11,4.4879207883936944e-06,8.392841976956333e-12,1.2483526211509889e-06,3.622680085915861e-11,5.895319322678821e-06,5.4262170926594495e-11,6.942184239363625e-06,119149151660.48686,3.3839917413297095e+20,73716188578.22852
projector,20,20000,1.9235010350248694e-12,1.8843050284180384e-12,3.847002070049739e-12,1.4457410716309002e-06,5.656586310465173e-13,4.375352676376842e-07,2.3767649597835454e-12,1.933554599849021e-06,3.690639796271197e-12,2.416469005040719e-06,1767850755980.0923,6.757020066273465e+22,1083822921045.635
