benchmark,n,shots,seed,iters,eta,frac_zero_steps,frac_nonzero_descent,frac_nonzero_ascent_or_orthogonal,mean_cos_nonzero,cost_start,cost_end,cost_change
parity,6,0,0,300,0.3,0.0,1.0,0.0,1.0,0.4332269242719415,0.0,-0.4332269242719415
parity,6,0,1,300,0.3,0.0,1.0,0.0,1.0,0.49873277935244453,0.0,-0.49873277935244453
parity,6,0,2,300,0.3,0.0,1.0,0.0,1.0,0.5018209563963126,0.0,-0.5018209563963126
parity,6,0,3,300,0.3,0.0,1.0,0.0,1.0,0.498037698978655,0.0,-0.498037698978655
parity,6,0,4,300,0.3,0.0,1.0,0.0,1.0,0.504038599133682,0.0,-0.504038599133682
parity,6,0,5,300,0.3,0.0,1.0,0.0,1.0,0.5004555690907525,0.0,-0.5004555690907525
parity,6,0,6,300,0.3,0.0,1.0,0.0,1.0,0.49982824386551594,0.0,-0.49982824386551594
parity,6,0,7,300,0.3,0.0,1.0,0.0,1.0,0.5626101983395877,0.0,-0.5626101983395877
parity,6,0,8,300,0.3,0.0,1.0,0.0,1.0,0.40739858411156393,0.0,-0.40739858411156393
parity,6,0,9,300,0.3,0.0,1.0,0.0,1.0,0.4870698473878377,0.0,-0.4870698473878377
parity,6,0,10,300,0.3,0.0,1.0,0.0,1.0,0.49933264112656794,0.0,-0.49933264112656794
parity,6,0,11,300,0.3,0.0,1.0,0.0,1.0,0.5020556781908284,0.0,-0.5020556781908284
parity,6,0,12,300,0.3,0.0,1.0,0.0,1.0,0.5480544763617154,0.0,-0.5480544763617154
parity,6,0,13,300,0.3,0.0,1.0,0.0,1.0,0.5482954116000366,0.0,-0.5482954116000366
parity,6,0,14,300,0.3,0.0,1.0,0.0,1.0,0.5433182391829883,0.0,-0.5433182391829883
parity,6,0,15,300,0.3,0.0,1.0,0.0,1.0,0.500056071265051,0.5000165580722612,-3.9513192789830676e-05
parity,6,0,16,300,0.3,0.0,1.0,0.0,1.0,0.15182474450149958,0.0,-0.15182474450149958
parity,6,0,17,300,0.3,0.0,1.0,0.0,1.0,0.541495669020744,0.0,-0.541495669020744
parity,6,0,18,300,0.3,0.0,1.0,0.0,1.0,0.5156747287869218,0.0,-0.5156747287869218
parity,6,0,19,300,0.3,0.0,1.0,0.0,1.0,0.5322164500611108,0.0,-0.5322164500611108
parity,6,64,0,300,0.3,0.0,0.7766666666666666,0.22333333333333333,0.31336910374931787,0.4332269242719415,0.0024091619576699363,-0.43081776231427155
parity,6,64,1,300,0.3,0.0,0.7466666666666667,0.25333333333333335,0.30514816818779317,0.49873277935244453,0.0009419508278156186,-0.4977908285246289
parity,6,64,2,300,0.3,0.0,0.62,0.38,0.1900178505010268,0.5018209563963126,0.000546562584643584,-0.501274393811669
parity,6,64,3,300,0.3,0.0,0.78,0.22,0.33287339631174,0.498037698978655,0.0009160308967522957,-0.4971216680819027
parity,6,64,4,300,0.3,0.0,0.7733333333333333,0.22666666666666666,0.32974259397079236,0.504038599133682,0.0010551937900832864,-0.5029834053435986
parity,6,64,5,300,0.3,0.0,0.81,0.19,0.35994093268758975,0.5004555690907525,0.0007318104756404153,-0.4997237586151121
parity,6,64,6,300,0.3,0.0,0.77,0.23,0.31352968070666004,0.49982824386551594,0.0008701216811616286,-0.4989581221843543
parity,6,64,7,300,0.3,0.0,0.7966666666666666,0.20333333333333334,0.36554962811734104,0.5626101983395877,0.0003338230420351085,-0.5622763752975526
parity,6,64,8,300,0.3,0.0,0.7533333333333333,0.24666666666666667,0.297233928372372,0.40739858411156393,0.0017429525197191764,-0.40565563159184476
parity,6,64,9,300,0.3,0.0,0.7866666666666666,0.21333333333333335,0.3287893580496933,0.4870698473878377,0.0012306494813059676,-0.48583919790653174
parity,6,64,10,300,0.3,0.0,0.7966666666666666,0.20333333333333334,0.33787364089853045,0.49933264112656794,0.00045335203307145244,-0.4988792890934965
parity,6,64,11,300,0.3,0.0,0.7666666666666667,0.23333333333333334,0.33880227585054096,0.5020556781908284,0.00045502179779022267,-0.5016006563930382
parity,6,64,12,300,0.3,0.0,0.77,0.23,0.32330583550894315,0.5480544763617154,0.0002546442267669091,-0.5477998321349485
parity,6,64,13,300,0.3,0.0,0.8266666666666667,0.17333333333333334,0.3711544499245161,0.5482954116000366,0.0009446856332842035,-0.5473507259667524
parity,6,64,14,300,0.3,0.0,0.7866666666666666,0.21333333333333335,0.3258440153261747,0.5433182391829883,0.0004184401751812228,-0.542899799007807
parity,6,64,15,300,0.3,0.0,0.51,0.49,-0.0040260511733142745,0.500056071265051,0.4999991550139702,-5.691625108084075e-05
parity,6,64,16,300,0.3,0.0,0.7566666666666667,0.24333333333333335,0.2705630026140032,0.15182474450149958,0.0002824936019179547,-0.15154225089958162
parity,6,64,17,300,0.3,0.0,0.8066666666666666,0.19333333333333333,0.3652420975755366,0.541495669020744,0.0009311226321981891,-0.5405645463885458
parity,6,64,18,300,0.3,0.0,0.76,0.24,0.30040731092148565,0.5156747287869218,0.0013449219383496747,-0.5143298068485721
parity,6,64,19,300,0.3,0.0,0.78,0.22,0.344024340855443,0.5322164500611108,0.0020465440349837216,-0.5301699060261271
parity,6,1024,0,300,0.3,0.0,0.77,0.23,0.33030638224146275,0.4332269242719415,2.0427300897241096e-05,-0.43320649697104424
parity,6,1024,1,300,0.3,0.0,0.79,0.21,0.423558464202006,0.49873277935244453,5.6003594686437896e-05,-0.4986767757577581
parity,6,1024,2,300,0.3,0.0,0.7233333333333334,0.27666666666666667,0.32156473927414314,0.5018209563963126,0.0028640035706434808,-0.49895695282566915
parity,6,1024,3,300,0.3,0.0,0.8066666666666666,0.19333333333333333,0.403736322204454,0.498037698978655,7.683067015812339e-05,-0.4979608683084969
parity,6,1024,4,300,0.3,0.0,0.8033333333333333,0.19666666666666666,0.39754481454357116,0.504038599133682,0.0001787170778837499,-0.5038598820557982
parity,6,1024,5,300,0.3,0.0,0.8433333333333334,0.15666666666666668,0.443776123861106,0.5004555690907525,5.812815149702777e-05,-0.5003974409392555
parity,6,1024,6,300,0.3,0.0,0.8433333333333334,0.15666666666666668,0.4441278724231053,0.49982824386551594,8.287971841824948e-05,-0.4997453641470977
parity,6,1024,7,300,0.3,0.0,0.8766666666666667,0.12333333333333334,0.5308466649389852,0.5626101983395877,1.9406869154414697e-05,-0.5625907914704333
parity,6,1024,8,300,0.3,0.0,0.7666666666666667,0.23333333333333334,0.3151664109633348,0.40739858411156393,6.66224303597085e-05,-0.4073319616812042
parity,6,1024,9,300,0.3,0.0,0.79,0.21,0.35877173688154723,0.4870698473878377,5.261895795821703e-05,-0.4870172284298795
parity,6,1024,10,300,0.3,0.0,0.81,0.19,0.38136259448730503,0.49933264112656794,0.00010772767666700211,-0.49922491344990094
parity,6,1024,11,300,0.3,0.0,0.8333333333333334,0.16666666666666666,0.45657631822292627,0.5020556781908284,6.156930878076228e-05,-0.5019941088820477
parity,6,1024,12,300,0.3,0.0,0.8133333333333334,0.18666666666666668,0.3656343598623093,0.5480544763617154,8.871225876333488e-05,-0.5479657641029521
parity,6,1024,13,300,0.3,0.0,0.8266666666666667,0.17333333333333334,0.4620286711613723,0.5482954116000366,9.490179727988934e-05,-0.5482005098027567
parity,6,1024,14,300,0.3,0.0,0.7933333333333333,0.20666666666666667,0.3783342863736385,0.5433182391829883,0.00010542297205756723,-0.5432128162109306
parity,6,1024,15,300,0.3,0.0,0.55,0.45,0.02700803930916718,0.500056071265051,0.4999951052888725,-6.096597617855082e-05
parity,6,1024,16,300,0.3,0.0,0.75,0.25,0.30593390078526755,0.15182474450149958,2.78642694115927e-05,-0.15179688023208798
parity,6,1024,17,300,0.3,0.0,0.8266666666666667,0.17333333333333334,0.4104930624576932,0.541495669020744,3.874443469498168e-05,-0.541456924586049
parity,6,1024,18,300,0.3,0.0,0.78,0.22,0.3424900967272355,0.5156747287869218,3.496600552299611e-05,-0.5156397627813988
parity,6,1024,19,300,0.3,0.0,0.7666666666666667,0.23333333333333334,0.36237478081269103,0.5322164500611108,0.00013096946725810188,-0.5320854805938527
parity,10,0,0,300,0.3,0.0,1.0,0.0,1.0,0.49995931603831373,8.060850399566055e-05,-0.49987870753431807
parity,10,0,1,300,0.3,0.0,1.0,0.0,1.0,0.4984726802083047,0.0,-0.4984726802083047
parity,10,0,2,300,0.3,0.0,1.0,0.0,1.0,0.4995751211560873,2.8255175976710234e-14,-0.49957512115605907
parity,10,0,3,300,0.3,0.0,1.0,0.0,1.0,0.49988944843943833,0.0007928493211804555,-0.4990965991182579
parity,10,0,4,300,0.3,0.0,1.0,0.0,1.0,0.5187032618570874,0.0,-0.5187032618570874
parity,10,0,5,300,0.3,0.0,1.0,0.0,1.0,0.49988112191014183,1.1905254559962941e-11,-0.4998811218982366
parity,10,0,6,300,0.3,0.0,1.0,0.0,1.0,0.5001291357344023,5.976919398298364e-07,-0.5001285380424625
parity,10,0,7,300,0.3,0.0,1.0,0.0,1.0,0.4977602070971119,0.0,-0.4977602070971119
parity,10,0,8,300,0.3,0.0,1.0,0.0,1.0,0.5000314720174136,0.4999302447322468,-0.00010122728516681612
parity,10,0,9,300,0.3,0.0,1.0,0.0,1.0,0.4867522212286356,0.0,-0.4867522212286356
parity,10,0,10,300,0.3,0.0,1.0,0.0,1.0,0.44546070990945064,0.0,-0.44546070990945064
parity,10,0,11,300,0.3,0.0,1.0,0.0,1.0,0.4999196211387244,0.4993190862994098,-0.0006005348393146037
parity,10,0,12,300,0.3,0.0,1.0,0.0,1.0,0.5017410390578284,0.5000531034218371,-0.0016879356359913444
parity,10,0,13,300,0.3,0.0,1.0,0.0,1.0,0.4958382221476218,0.0,-0.4958382221476218
parity,10,0,14,300,0.3,0.0,1.0,0.0,1.0,0.4997666376742627,0.4957289291418042,-0.004037708532458495
parity,10,0,15,300,0.3,0.0,1.0,0.0,1.0,0.573394586626651,0.0,-0.573394586626651
parity,10,0,16,300,0.3,0.0,1.0,0.0,1.0,0.5063881925852409,0.0,-0.5063881925852409
parity,10,0,17,300,0.3,0.0,1.0,0.0,1.0,0.4990878046410645,0.0,-0.4990878046410645
parity,10,0,18,300,0.3,0.0,1.0,0.0,1.0,0.6569591561319879,0.0,-0.6569591561319879
parity,10,0,19,300,0.3,0.0,1.0,0.0,1.0,0.5014352141863356,0.0,-0.5014352141863356
parity,10,64,0,300,0.3,0.0,0.72,0.28,0.22280680477270773,0.49995931603831373,0.0018916589562636421,-0.4980676570820501
parity,10,64,1,300,0.3,0.0,0.8333333333333334,0.16666666666666666,0.32814695223045753,0.4984726802083047,0.001345758327513602,-0.4971269218807911
