n,benchmark,n_samples,empirical_mean_log_abs_sB,theory_mean_log_abs_sB,empirical_var_log_abs_sB,theory_var_log_abs_sB,empirical_mean_abs_sB,theory_mean_abs_sB,empirical_var_g,theory_var_g,log10_abs_g_median,snr1_finite_frac,snr1_log10M_median,snr1_log10M_q25,snr1_log10M_q75,snr1_log10M_q90,snr1_log10M_geomean,snr1_method,snr2_finite_frac,snr2_log10M_median,snr2_log10M_q25,snr2_log10M_q75,snr2_log10M_q90,snr2_log10M_geomean,snr2_method,dir0.75_finite_frac,dir0.75_log10M_median,dir0.75_log10M_q25,dir0.75_log10M_q75,dir0.75_log10M_q90,dir0.75_log10M_geomean,dir0.75_method,dir0.75_frac_exact,dir0.75_max_table_bracket_log10,dir0.75_median_log10_ratio_exact_over_normal,dir0.75_max_log10_ratio_exact_over_normal,dir0.75_max_log10_ratio_exact_over_normal_at_table_edge,dir0.9_finite_frac,dir0.9_log10M_median,dir0.9_log10M_q25,dir0.9_log10M_q75,dir0.9_log10M_q90,dir0.9_log10M_geomean,dir0.9_method,dir0.9_frac_exact,dir0.9_max_table_bracket_log10,dir0.9_median_log10_ratio_exact_over_normal,dir0.9_max_log10_ratio_exact_over_normal,dir0.9_max_log10_ratio_exact_over_normal_at_table_edge,empirical_mean_logA,theory_mean_logA,dir0.75_exact_reached_frac,dir0.75_frac_skellam_normal_limit,dir0.75_skellam_checked,dir0.75_median_log10_ratio_skellam_over_exact,dir0.75_max_log10_ratio_skellam_over_exact,dir0.9_exact_reached_frac,dir0.9_frac_skellam_normal_limit,dir0.9_skellam_checked,dir0.9_median_log10_ratio_skellam_over_exact,dir0.9_max_log10_ratio_skellam_over_exact
2,parity,100000,-1.3859724445006134,-1.3862943611198906,1.6234669013452425,1.6449340668482264,0.4041108999354122,0.40528473456935116,0.06220356267064226,0.0625,-0.7487015291839577,1.0,0.5352030539684842,-0.1491280514894274,1.3840340469926105,2.381434439523334,0.7125878243696543,closed_form_exact,1.0,1.1372630452964467,0.45293193983853497,1.986094038320573,2.983494430851296,1.3146478156976167,closed_form_exact,1.0,0.6020599913279624,0.3010299956639812,1.255272505103306,2.1172712956557644,0.9585531686590049,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.98981,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,0.9542425094393249,0.47712125471966244,1.6720978579357175,2.621280055894167,1.2527742262062715,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.98981,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
4,parity,100000,-2.777819661307964,-2.772588722239781,3.3004531843443297,3.289868133696453,0.1638082292956328,0.1642557160749494,0.015556981562160501,0.015625,-1.347846273568653,1.0,1.7890877003983336,0.9163441289886832,2.9424246971920933,4.238264103772224,2.0775456264437935,closed_form_exact,1.0,2.391147691726296,1.5184041203166456,3.544484688520056,4.840324095100186,2.679605617771756,closed_form_exact,1.0,1.591064607026499,0.9030899869919435,2.6444385894678386,3.907034952483417,1.95418787540565,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.9287,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,2.0530784434834195,1.255272505103306,3.171726453653231,4.457291339128507,2.3902114117526523,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.9287,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
6,parity,100000,-4.157817094062249,-4.1588830833596715,4.903325033409581,4.934802200544679,0.06629042385625837,0.06657033429093458,0.0038698270103625634,0.00390625,-1.9478180665203986,1.0,2.9923251835123663,1.8886954211829377,4.386891728183433,5.905479277817942,3.302867308758728,closed_form_exact,1.0,3.594385174840329,2.4907554125109,4.9889517195113955,6.507539269145904,3.9049273000866895,closed_form_exact,1.0,2.69196510276736,1.6720978579357175,4.053808059920658,5.563429986524358,3.0548186589867954,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.79029,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,3.2211533219547053,2.146128035678238,4.605175708427769,6.1209514488091905,3.554882740641631,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.79029,0.12493873660829996,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
8,parity,100000,-5.545627390153841,-5.545177444479562,6.606601660749124,6.579736267392906,0.02699358123261644,0.02697994026329439,0.0009782813556832761,0.0009765625,-2.552766370736967,1.0,4.202429130050988,2.881290351456477,5.798985594906856,7.490912255193668,4.514027863106291,closed_form_exact,1.0,4.804489121378951,3.4833503427844397,6.401045586234819,8.092972246521631,5.116087854434253,closed_form_exact,1.0,3.8724476477890133,2.5854607295085006,5.456936303613274,7.148862963900085,4.2130313608122725,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.58749,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,4.422409256609699,3.1109262422664203,6.014457765898106,7.7063844261849175,4.744109534145978,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.58749,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
10,parity,100000,-6.933277716531643,-6.931471805599453,8.172629937880542,8.224670334241132,0.01079440004752078,0.010934557928306218,0.00023967245759650663,0.000244140625,-3.1582332164018974,1.0,5.413375607552725,3.910312455922455,7.178683773906219,9.046040188470421,5.720707335880772,closed_form_exact,1.0,6.015435598880687,4.512372447250417,7.780743765234181,9.648100179798384,6.3227673272087355,closed_form_exact,1.0,5.071326316259141,3.583198773968623,6.836634482612635,8.703990897176839,5.395783039109642,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.38054,0.09691001300805646,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,5.628847778543973,4.1302694238053705,7.394155944897467,9.26151235946167,5.941952677582084,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.38054,0.07918124604762478,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
12,parity,100000,-8.339630619494296,-8.317766166719343,9.94685868740111,9.869604401089358,0.00440388342166138,0.0044316094076067795,6.321604724052033e-05,6.103515625e-05,-3.7611652644784916,1.0,6.61924048978387,4.960959702443585,8.57605174196127,10.582350699292434,6.942568885552257,closed_form_exact,1.0,7.221300481111832,5.5630196937715475,9.178111733289233,11.184410690620396,7.5446288768802185,closed_form_exact,1.0,6.2771911984902875,4.618910411150003,8.234002450667688,10.240301407998851,6.607470208525772,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.21357,0.057991946977686726,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,6.83471266077512,5.176431873434835,8.79152391295252,10.797822870283683,7.16032543414077,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.21357,0.032184683371401235,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
14,parity,100000,-9.706434501292936,-9.704060527839234,11.49071710466922,11.514538467937584,0.0017891839477796193,0.001796063642476953,1.5022689510199023e-05,1.52587890625e-05,-4.358968853329478,1.0,7.8148477163411325,6.005191503615089,9.889311494693997,12.048245422416947,8.129845555130677,closed_form_exact,1.0,8.416907707669095,6.607251494943052,10.49137148602196,12.65030541374491,8.731905546458638,closed_form_exact,1.0,7.47279842504755,5.663142212321507,9.547262203400413,11.706196131123363,7.790483811170941,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.10701,0.028028723600243444,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,8.030319887332382,6.220663674606339,10.104783665685245,12.263717593408195,8.346187382670475,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.10701,0.015794267183231847,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
16,parity,100000,-11.087490495576686,-11.090354888959125,13.286162114803252,13.159472534785811,0.0007272517271883521,0.0007279171766109339,4.092252950274584e-06,3.814697265625e-06,-4.954489482134971,1.0,9.005888977063776,7.0549072516945985,11.22007182598451,13.546382664964057,9.329434706448867,closed_form_exact,1.0,9.607948968391739,7.656967243022561,11.82213181731247,14.148442656292017,9.931494697776829,closed_form_exact,1.0,8.663839685770192,6.712857960401015,10.878022534690926,13.204333373670472,8.988360589499354,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.04852,0.01930515519538667,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,9.221361148055024,7.270379422685847,11.435543996975758,13.761854835955305,9.54522278007919,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.04852,0.010723865391773169,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
18,parity,100000,-12.4732843158183,-12.476649250079015,14.776055387342002,14.804406601634037,0.00029850055122880337,0.0002950137197112338,1.0650004174340712e-06,9.5367431640625e-07,-5.55284324774218,1.0,10.202596508478797,8.155447991964355,12.565748054388877,14.986850150654284,10.533125248085286,closed_form_exact,1.0,10.804656499806757,8.757507983292317,13.16780804571684,15.588910141982247,11.13518523941325,closed_form_exact,1.0,9.860547217185214,7.8133987006707715,12.223698763095296,14.644800859360702,10.191414967730246,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.0191,0.02118929906993805,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,10.418068679470046,8.370920162955603,12.781220225380125,15.202322321645532,10.748707785731547,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.0191,0.005532488599961027,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
20,parity,100000,-13.83950913745306,-13.862943611198906,16.305910935157915,16.449340668482265,0.00012150432952081512,0.00011956455708748435,2.3830056775566178e-07,2.384185791015625e-07,-6.156250675025684,1.0,11.40941136305858,9.218403616283931,13.88434961211856,16.382827349715026,11.71981449141249,closed_form_exact,1.0,12.011471354386542,9.820463607611892,14.486409603446523,16.984887341042988,12.321874482740453,closed_form_exact,1.0,11.067362071764995,8.876354324990347,13.542300320824978,16.04077805842144,11.377874649608808,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.00706,0.004746435024461704,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,11.624883534049827,9.433875787275179,14.09982178310981,16.598299520706274,11.935322392309839,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.00706,0.002063160563773536,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
