n,benchmark,n_samples,empirical_mean_log_abs_sB,theory_mean_log_abs_sB,empirical_var_log_abs_sB,theory_var_log_abs_sB,empirical_mean_abs_sB,theory_mean_abs_sB,empirical_var_g,theory_var_g,log10_abs_g_median,snr1_finite_frac,snr1_log10M_median,snr1_log10M_q25,snr1_log10M_q75,snr1_log10M_q90,snr1_log10M_geomean,snr1_method,snr2_finite_frac,snr2_log10M_median,snr2_log10M_q25,snr2_log10M_q75,snr2_log10M_q90,snr2_log10M_geomean,snr2_method,dir0.75_finite_frac,dir0.75_log10M_median,dir0.75_log10M_q25,dir0.75_log10M_q75,dir0.75_log10M_q90,dir0.75_log10M_geomean,dir0.75_method,dir0.75_frac_exact,dir0.75_max_table_bracket_log10,dir0.75_median_log10_ratio_exact_over_normal,dir0.75_max_log10_ratio_exact_over_normal,dir0.75_max_log10_ratio_exact_over_normal_at_table_edge,dir0.9_finite_frac,dir0.9_log10M_median,dir0.9_log10M_q25,dir0.9_log10M_q75,dir0.9_log10M_q90,dir0.9_log10M_geomean,dir0.9_method,dir0.9_frac_exact,dir0.9_max_table_bracket_log10,dir0.9_median_log10_ratio_exact_over_normal,dir0.9_max_log10_ratio_exact_over_normal,dir0.9_max_log10_ratio_exact_over_normal_at_table_edge,empirical_mean_logA,theory_mean_logA,dir0.75_exact_reached_frac,dir0.75_frac_skellam_normal_limit,dir0.75_skellam_checked,dir0.75_median_log10_ratio_skellam_over_exact,dir0.75_max_log10_ratio_skellam_over_exact,dir0.9_exact_reached_frac,dir0.9_frac_skellam_normal_limit,dir0.9_skellam_checked,dir0.9_median_log10_ratio_skellam_over_exact,dir0.9_max_log10_ratio_skellam_over_exact
2,parity,100000,-1.3859724445006134,-1.3862943611198906,1.6234669013452425,1.6449340668482264,0.4041108999354122,0.40528473456935116,0.06220356267064226,0.0625,-0.7487015291839577,1.0,0.5352030539684842,-0.1491280514894274,1.3840340469926105,2.381434439523334,0.7125878243696543,closed_form_exact,1.0,1.1372630452964467,0.45293193983853497,1.986094038320573,2.983494430851296,1.3146478156976167,closed_form_exact,1.0,0.6020599913279624,0.3010299956639812,1.255272505103306,2.1172712956557644,0.9585531686590049,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.98981,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,0.9542425094393249,0.47712125471966244,1.6720978579357175,2.621280055894167,1.2527742262062715,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.98981,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
2,projector,100000,,,,,,,,,-0.9447087856465723,1.0,0.7345576404329873,0.02388467855720263,1.6140784368175451,2.6345955141718287,0.9172728694239847,closed_form_exact,1.0,1.3366176317609497,0.6259446698851651,2.2161384281455074,3.236655505499791,1.519332860751947,closed_form_exact,1.0,0.8450980400142568,0.3010299956639812,1.5797835966168101,2.519827993775719,1.1616548560610864,exact_bisection_per_sample_bracket,,,,,,1.0,1.1139433523068367,0.6020599913279624,1.9294189257142926,2.9175055095525466,1.4269582286245561,exact_bisection_per_sample_bracket,,,,,,-1.3859722647629498,-1.3862943611198906,1.0,0.00462,397.0,0.05115252244738133,0.3010299956639812,1.0,0.00875,395.0,0.10914446942506806,0.3010299956639812
4,parity,100000,-2.777819661307964,-2.772588722239781,3.3004531843443297,3.289868133696453,0.1638082292956328,0.1642557160749494,0.015556981562160501,0.015625,-1.347846273568653,1.0,1.7890877003983336,0.9163441289886832,2.9424246971920933,4.238264103772224,2.0775456264437935,closed_form_exact,1.0,2.391147691726296,1.5184041203166456,3.544484688520056,4.840324095100186,2.679605617771756,closed_form_exact,1.0,1.591064607026499,0.9030899869919435,2.6444385894678386,3.907034952483417,1.95418787540565,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.9287,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,2.0530784434834195,1.255272505103306,3.171726453653231,4.457291339128507,2.3902114117526523,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.9287,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
4,projector,100000,,,,,,,,,-2.116836564487775,1.0,2.091279714050062,1.1979564788289343,3.239333992491944,4.534323353489956,2.3682705071608385,closed_form_exact,1.0,2.6933397053780244,1.8000164701568966,3.8413939838199065,5.136383344817919,2.9703304984888015,closed_form_exact,1.0,2.089905111439398,1.2787536009528289,3.19040172308112,4.457482221633363,2.3996439994981036,exact_bisection_per_sample_bracket,,,,,,1.0,2.413299764081252,1.5563025007672873,3.542233932519015,4.828394984777878,2.7147614220215903,exact_bisection_per_sample_bracket,,,,,,-4.178786420929344,-4.1588830833596715,1.0,0.00424,399.0,0.0036649540864051033,0.17609125905568124,1.0,0.00817,396.0,0.006434110005409943,0.3010299956639812
6,parity,100000,-4.157817094062249,-4.1588830833596715,4.903325033409581,4.934802200544679,0.06629042385625837,0.06657033429093458,0.0038698270103625634,0.00390625,-1.9478180665203986,1.0,2.9923251835123663,1.8886954211829377,4.386891728183433,5.905479277817942,3.302867308758728,closed_form_exact,1.0,3.594385174840329,2.4907554125109,4.9889517195113955,6.507539269145904,3.9049273000866895,closed_form_exact,1.0,2.69196510276736,1.6720978579357175,4.053808059920658,5.563429986524358,3.0548186589867954,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.79029,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,3.2211533219547053,2.146128035678238,4.605175708427769,6.1209514488091905,3.554882740641631,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.79029,0.12493873660829996,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
6,projector,100000,,,,,,,,,-3.303994294666431,1.0,3.296307437806516,2.1874622651090396,4.686291061907049,6.224518120363185,3.6041381389604408,closed_form_exact,1.0,3.8983674291344785,2.789522256437002,5.2883510532350115,6.8265781116911475,4.206198130288404,closed_form_exact,1.0,3.290034611362518,2.214843848047698,4.649899269375515,6.159831268589895,3.6051696896927914,exact_bisection_per_sample_bracket,,,,,,1.0,3.613418945034573,2.5171958979499744,4.993796518248923,6.523209781544436,3.927206403828184,exact_bisection_per_sample_bracket,,,,,,-6.936592848436869,-6.931471805599453,1.0,0.00406,400.0,0.0002761105678852349,0.17609125905568124,1.0,0.00819,400.0,0.00039216580677647883,0.12493873660829996
8,parity,100000,-5.545627390153841,-5.545177444479562,6.606601660749124,6.579736267392906,0.02699358123261644,0.02697994026329439,0.0009782813556832761,0.0009765625,-2.552766370736967,1.0,4.202429130050988,2.881290351456477,5.798985594906856,7.490912255193668,4.514027863106291,closed_form_exact,1.0,4.804489121378951,3.4833503427844397,6.401045586234819,8.092972246521631,5.116087854434253,closed_form_exact,1.0,3.8724476477890133,2.5854607295085006,5.456936303613274,7.148862963900085,4.2130313608122725,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.58749,0.17609125905568124,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,4.422409256609699,3.1109262422664203,6.014457765898106,7.7063844261849175,4.744109534145978,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.58749,0.17609125905568124,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
8,projector,100000,,,,,,,,,-4.495411910844634,1.0,4.486652174092956,3.1766899259959978,6.094904032259903,7.794441130236723,4.807957681008958,closed_form_exact,1.0,5.088712165420919,3.77874991732396,6.696964023587865,8.396501121564686,5.41001767233692,closed_form_exact,1.0,4.483722769951912,3.1958996524092336,6.05716230392199,7.738145879777862,4.803155167768396,exact_bisection_per_sample_bracket,,,,,,1.0,4.803521981821653,3.500373714353374,6.402658467432061,8.093288549519285,5.126243216567824,exact_bisection_per_sample_bracket,,,,,,-9.69425502344252,-9.704060527839234,1.0,0.00404,398.0,6.494799190015499e-06,0.12493873660829996,1.0,0.00804,397.0,2.0810008959593063e-05,0.07918124604762478
10,parity,100000,-6.933277716531643,-6.931471805599453,8.172629937880542,8.224670334241132,0.01079440004752078,0.010934557928306218,0.00023967245759650663,0.000244140625,-3.1582332164018974,1.0,5.413375607552725,3.910312455922455,7.178683773906219,9.046040188470421,5.720707335880772,closed_form_exact,1.0,6.015435598880687,4.512372447250417,7.780743765234181,9.648100179798384,6.3227673272087355,closed_form_exact,1.0,5.071326316259141,3.583198773968623,6.836634482612635,8.703990897176839,5.395783039109642,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.38054,0.09691001300805646,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,5.628847778543973,4.1302694238053705,7.394155944897467,9.26151235946167,5.941952677582084,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.38054,0.07918124604762478,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
10,projector,100000,,,,,,,,,-5.720692492187208,1.0,5.717089194265007,4.209591295405896,7.488085944706294,9.350664755675572,6.022827587198166,closed_form_exact,1.0,6.31914918559297,4.811651286733858,8.090145936034256,9.952724747003534,6.624887578526128,closed_form_exact,1.0,5.7117730723545375,4.225373903495938,7.456354803353659,9.290576223472076,6.015578882600529,exact_bisection_per_sample_bracket,,,,,,1.0,6.032843504448579,4.534035629918694,7.796953110395246,9.64982524166667,6.339692060236507,exact_bisection_per_sample_bracket,,,,,,-12.472942906452746,-12.476649250079015,1.0,0.00436,398.0,6.655407918110257e-07,0.012234456417011597,1.0,0.00822,397.0,2.698821909952187e-06,0.029963223377443393
12,parity,100000,-8.339630619494296,-8.317766166719343,9.94685868740111,9.869604401089358,0.00440388342166138,0.0044316094076067795,6.321604724052033e-05,6.103515625e-05,-3.7611652644784916,1.0,6.61924048978387,4.960959702443585,8.57605174196127,10.582350699292434,6.942568885552257,closed_form_exact,1.0,7.221300481111832,5.5630196937715475,9.178111733289233,11.184410690620396,7.5446288768802185,closed_form_exact,1.0,6.2771911984902875,4.618910411150003,8.234002450667688,10.240301407998851,6.607470208525772,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.21357,0.057991946977686726,0.0936621871987825,0.5396215276160806,0.010586086469253964,1.0,6.83471266077512,5.176431873434835,8.79152391295252,10.797822870283683,7.16032543414077,exact_table_for_log10|sB|>=-2.5_else_normal_inversion,0.21357,0.032184683371401235,0.0293941201553638,0.47712125471966244,0.002976689278558986,,,,,,,,,,,,
