benchmark,n,shots,n_theta,replicates,p_vector_zero,p_dot_gt_0,p_dot_le_0,p_dot_lt_0,median_cos,mean_cos,cos_q25,cos_q75,p_cos_gt_0p5,p_abs_cos_lt_0p1_given_nonzero,p_dot_gt_0_given_nonzero,median_cos_given_nonzero
parity,4,64,300,20,0.0,0.9715,0.0285,0.0285,0.9584133202805752,0.8540800533121667,0.8744578140133823,0.9835570812510964,0.9198333333333333,0.013833333333333333,0.9715,0.9584133202805752
parity,4,1024,300,20,0.0,0.9968333333333333,0.0031666666666666666,0.0031666666666666666,0.9973019986507679,0.9706984659411073,0.9907442995889896,0.9989087386787303,0.9881666666666666,0.002,0.9968333333333333,0.9973019986507679
parity,4,16384,300,20,0.0,1.0,0.0,0.0,0.9998261805155398,0.996308372671776,0.999413876676334,0.9999323091489615,0.9993333333333333,0.0,1.0,0.9998261805155398
parity,6,64,300,20,0.0,0.8761666666666666,0.12383333333333334,0.12383333333333334,0.7106083242038178,0.5603712092765242,0.3148657297629523,0.8980845711863538,0.6526666666666666,0.06683333333333333,0.8761666666666666,0.7106083242038178
parity,6,1024,300,20,0.0,0.9611666666666666,0.03883333333333333,0.03883333333333333,0.9655326502578316,0.822787721534886,0.8158033555368873,0.9920316202761372,0.88,0.018,0.9611666666666666,0.9655326502578316
parity,6,16384,300,20,0.0,0.9915,0.0085,0.0085,0.9977129220371097,0.9482949523553837,0.9831163190036771,0.9994938903053989,0.9701666666666666,0.004333333333333333,0.9915,0.9977129220371097
parity,8,64,300,20,0.0,0.7621666666666667,0.23783333333333334,0.23783333333333334,0.33881117567038155,0.3083078708223568,0.01662870730839254,0.6336795071721049,0.36483333333333334,0.13183333333333333,0.7621666666666667,0.33881117567038155
parity,8,1024,300,20,0.0,0.8791666666666667,0.12083333333333333,0.12083333333333333,0.7272811637937984,0.5839228582353639,0.31154282715551984,0.941069466532759,0.6545,0.0635,0.8791666666666667,0.7272811637937984
parity,8,16384,300,20,0.0,0.9463333333333334,0.05366666666666667,0.05366666666666667,0.9700343305860055,0.7948736140764534,0.7523063992462071,0.9957240677898601,0.8436666666666667,0.026,0.9463333333333334,0.9700343305860055
parity,10,64,300,20,0.0,0.6651666666666667,0.3348333333333333,0.3348333333333333,0.1671988376277764,0.16402471821105777,-0.09928662678194197,0.43519746427853656,0.1965,0.18316666666666667,0.6651666666666667,0.1671988376277764
parity,10,1024,300,20,0.0,0.7748333333333334,0.22516666666666665,0.22516666666666665,0.3857532575316913,0.36912283989950195,0.034715413014979775,0.7630100577845859,0.4196666666666667,0.13183333333333333,0.7748333333333334,0.3857532575316913
parity,10,16384,300,20,0.0,0.8815,0.1185,0.1185,0.7674310979383804,0.6021313511496841,0.3068509973782064,0.9745484752307446,0.6496666666666666,0.0705,0.8815,0.7674310979383804
parity,12,64,300,20,0.0,0.5843333333333334,0.4156666666666667,0.4156666666666667,0.06852397368532537,0.0721979062423792,-0.14810329556269836,0.2945175507102953,0.08716666666666667,0.24183333333333334,0.5843333333333334,0.06852397368532537
parity,12,1024,300,20,0.0,0.6856666666666666,0.31433333333333335,0.31433333333333335,0.1780237428238938,0.19196509122280972,-0.06990813630643036,0.4379275795614259,0.20233333333333334,0.19733333333333333,0.6856666666666666,0.1780237428238938
parity,12,16384,300,20,0.0,0.7988333333333333,0.20116666666666666,0.20116666666666666,0.3791669822483476,0.38412632048719914,0.06343183166376984,0.7655888459406844,0.41583333333333333,0.13216666666666665,0.7988333333333333,0.3791669822483476
projector,4,64,300,20,0.109,0.806,0.194,0.085,0.9635841001594603,0.6753776309479618,0.7147928247480486,0.9891186918414908,0.7761666666666667,0.005798728020950243,0.9046015712682379,0.9720697493411323
projector,4,1024,300,20,0.027666666666666666,0.9276666666666666,0.07233333333333333,0.04466666666666667,0.9973390112610024,0.8666724796074122,0.9843138159739947,0.9991828767238186,0.9156666666666666,0.004628042509427494,0.9540623928693863,0.9975301766355238
projector,4,16384,300,20,0.006666666666666667,0.9743333333333334,0.025666666666666667,0.019,0.9998252631056339,0.9503795990965737,0.999021691427407,0.999947499993854,0.9708333333333333,0.0003355704697986577,0.9808724832214765,0.9998279160134211
projector,6,64,300,20,0.326,0.588,0.412,0.086,0.6151166216777841,0.42057186290061427,0.0,0.9379588441485222,0.5263333333333333,0.022502472799208705,0.8724035608308606,0.8880195920742296
projector,6,1024,300,20,0.119,0.8025,0.1975,0.0785,0.967997509685492,0.6776323444720715,0.6290036470407798,0.9946593822763233,0.7656666666666667,0.00832387438516837,0.9108967082860386,0.9792578295842785
projector,6,16384,300,20,0.050666666666666665,0.8983333333333333,0.10166666666666667,0.051,0.9976809642953698,0.8289012377341378,0.9720674304745676,0.9996296004983338,0.8838333333333334,0.005091292134831461,0.9462780898876404,0.9980392959215926
projector,8,64,300,20,0.587,0.3485,0.6515,0.0645,0.0,0.21072751318348423,0.0,0.6716450050829623,0.2896666666666667,0.029055690072639227,0.8438256658595642,0.781215816719707
projector,8,1024,300,20,0.31183333333333335,0.5923333333333334,0.4076666666666667,0.09583333333333334,0.6805734924457707,0.43379127888674013,0.0,0.9706347993612143,0.5401666666666667,0.020343908936788568,0.8607410995398401,0.9325737111765302
projector,8,16384,300,20,0.1385,0.761,0.239,0.1005,0.9738081902316489,0.6242248791921727,0.21284243662077304,0.9974217645924708,0.7261666666666666,0.011027278003482298,0.8833430063842136,0.9865196753038133
projector,10,64,300,20,0.7975,0.16383333333333333,0.8361666666666666,0.03866666666666667,0.0,0.07892423654766202,0.0,0.0,0.11916666666666667,0.044444444444444446,0.8090534979423868,0.6297392868032212
projector,10,1024,300,20,0.5215,0.38916666666666666,0.6108333333333333,0.08933333333333333,0.0,0.23338335877518138,0.0,0.7505381502896198,0.319,0.034482758620689655,0.8133054684778823,0.777919724697937
projector,10,16384,300,20,0.29533333333333334,0.6055,0.3945,0.09916666666666667,0.7414364687742625,0.44994400934963424,0.0,0.9748227371607832,0.5566666666666666,0.017975402081362345,0.859271523178808,0.9347568421156212
projector,12,64,300,20,0.929,0.05616666666666666,0.9438333333333333,0.014833333333333334,0.0,0.020023615338906762,0.0,0.0,0.030666666666666665,0.09624413145539906,0.7910798122065728,0.4141691745354747
projector,12,1024,300,20,0.7838333333333334,0.17483333333333334,0.8251666666666667,0.04133333333333333,0.0,0.09251836584842367,0.0,0.0,0.136,0.04240555127216654,0.8087895142636854,0.7098490978976258
projector,12,16384,300,20,0.5626666666666666,0.3515,0.6485,0.08583333333333333,0.0,0.21261562482643814,0.0,0.7014550281393879,0.2961666666666667,0.036966463414634144,0.803734756097561,0.8007430147392677
